2021-10-19 06:48:55,131 | 5393 | tracing_net.net, __init__, 99 | INFO | set up on-demand mininet
2021-10-19 06:48:55,133 | 5393 | tracing_of_pipeline, start, 102 | INFO | OpenFlow Tracer Start
2021-10-19 06:48:55,148 | 5393 | tracing_net.net, start, 312 | INFO | mininet start
2021-10-19 06:48:55,153 | 5393 | tracing_net.cli, error, 97 | DEBUG | CLI error *** Unknown command: EOF

2021-10-19 06:48:55,159 | 5393 | tracing_net.api.ws_server, emit2client, 111 | DEBUG | MessageHub receives messages from net and emits them to clients. (event=WSEvent.EXEC_MININET_COMMAND_RESULT, param=b'\x08\x01\x12\x19*** Unknown command: EOF\n')
2021-10-19 06:48:55,169 | 5393 | tracing_net.cli, send_end_command_signal, 105 | DEBUG | CLI send end command signal
2021-10-19 06:48:55,177 | 5393 | tracing_net.api.ws_server, emit2client, 111 | DEBUG | MessageHub receives messages from net and emits them to clients. (event=WSEvent.EXEC_MININET_COMMAND_RESULT, param=b'\x08d\x12\x00')
2021-10-19 06:48:55,179 | 5393 | tracing_net.cli, error, 97 | DEBUG | CLI error *** Unknown command: EOF

2021-10-19 06:48:55,182 | 5393 | tracing_net.api.ws_server, emit2client, 111 | DEBUG | MessageHub receives messages from net and emits them to clients. (event=WSEvent.EXEC_MININET_COMMAND_RESULT, param=b'\x08\x01\x12\x19*** Unknown command: EOF\n')
2021-10-19 06:48:55,183 | 5393 | tracing_net.cli, send_end_command_signal, 105 | DEBUG | CLI send end command signal
2021-10-19 06:48:55,183 | 5393 | tracing_net.api.ws_server, emit2client, 111 | DEBUG | MessageHub receives messages from net and emits them to clients. (event=WSEvent.EXEC_MININET_COMMAND_RESULT, param=b'\x08d\x12\x00')
2021-10-19 06:48:55,186 | 5393 | tracing_net.cli, error, 97 | DEBUG | CLI error *** Unknown command: EOF

2021-10-19 06:48:55,187 | 5393 | tracing_net.api.ws_server, emit2client, 111 | DEBUG | MessageHub receives messages from net and emits them to clients. (event=WSEvent.EXEC_MININET_COMMAND_RESULT, param=b'\x08\x01\x12\x19*** Unknown command: EOF\n')
2021-10-19 06:48:55,192 | 5393 | tracing_net.cli, send_end_command_signal, 105 | DEBUG | CLI send end command signal
2021-10-19 06:48:55,198 | 5393 | tracing_net.api.ws_server, emit2client, 111 | DEBUG | MessageHub receives messages from net and emits them to clients. (event=WSEvent.EXEC_MININET_COMMAND_RESULT, param=b'\x08d\x12\x00')
2021-10-19 06:48:55,202 | 5393 | tracing_net.cli, error, 97 | DEBUG | CLI error *** Unknown command: EOF

2021-10-19 06:48:55,204 | 5393 | tracing_net.api.ws_server, emit2client, 111 | DEBUG | MessageHub receives messages from net and emits them to clients. (event=WSEvent.EXEC_MININET_COMMAND_RESULT, param=b'\x08\x01\x12\x19*** Unknown command: EOF\n')
2021-10-19 06:48:55,206 | 5393 | tracing_net.cli, send_end_command_signal, 105 | DEBUG | CLI send end command signal
2021-10-19 06:48:55,215 | 5393 | tracing_net.api.ws_server, emit2client, 111 | DEBUG | MessageHub receives messages from net and emits them to clients. (event=WSEvent.EXEC_MININET_COMMAND_RESULT, param=b'\x08d\x12\x00')
2021-10-19 06:48:55,220 | 5393 | tracing_net.cli, error, 97 | DEBUG | CLI error *** Unknown command: EOF

2021-10-19 06:48:55,225 | 5393 | tracing_net.api.ws_server, emit2client, 111 | DEBUG | MessageHub receives messages from net and emits them to clients. (event=WSEvent.EXEC_MININET_COMMAND_RESULT, param=b'\x08\x01\x12\x19*** Unknown command: EOF\n')
2021-10-19 06:48:55,228 | 5393 | tracing_net.cli, send_end_command_signal, 105 | DEBUG | CLI send end command signal
2021-10-19 06:48:55,230 | 5393 | tracing_net.api.ws_server, emit2client, 111 | DEBUG | MessageHub receives messages from net and emits them to clients. (event=WSEvent.EXEC_MININET_COMMAND_RESULT, param=b'\x08d\x12\x00')
2021-10-19 06:48:55,235 | 5393 | tracing_net.cli, error, 97 | DEBUG | CLI error *** Unknown command: EOF

2021-10-19 06:48:55,236 | 5393 | tracing_net.api.ws_server, emit2client, 111 | DEBUG | MessageHub receives messages from net and emits them to clients. (event=WSEvent.EXEC_MININET_COMMAND_RESULT, param=b'\x08\x01\x12\x19*** Unknown command: EOF\n')
2021-10-19 06:48:55,243 | 5393 | tracing_net.cli, send_end_command_signal, 105 | DEBUG | CLI send end command signal
2021-10-19 06:48:55,250 | 5393 | tracing_net.api.ws_server, emit2client, 111 | DEBUG | MessageHub receives messages from net and emits them to clients. (event=WSEvent.EXEC_MININET_COMMAND_RESULT, param=b'\x08d\x12\x00')
2021-10-19 06:48:55,253 | 5393 | tracing_net.cli, error, 97 | DEBUG | CLI error *** Unknown command: EOF

2021-10-19 06:48:55,255 | 5393 | tracing_net.api.ws_server, emit2client, 111 | DEBUG | MessageHub receives messages from net and emits them to clients. (event=WSEvent.EXEC_MININET_COMMAND_RESULT, param=b'\x08\x01\x12\x19*** Unknown command: EOF\n')
2021-10-19 06:48:55,256 | 5393 | tracing_net.cli, send_end_command_signal, 105 | DEBUG | CLI send end command signal
2021-10-19 06:48:55,265 | 5393 | tracing_net.api.ws_server, emit2client, 111 | DEBUG | MessageHub receives messages from net and emits them to clients. (event=WSEvent.EXEC_MININET_COMMAND_RESULT, param=b'\x08d\x12\x00')
2021-10-19 06:48:55,267 | 5393 | tracing_net.cli, error, 97 | DEBUG | CLI error *** Unknown command: EOF

