2021-10-19 13:53:51,609 | 6820 | tracing_net.net, __init__, 99 | INFO | set up on-demand mininet
2021-10-19 13:53:51,615 | 6820 | tracing_of_pipeline, start, 105 | INFO | OpenFlow Tracer Start
2021-10-19 13:53:51,660 | 6820 | tracing_net.net, start, 312 | INFO | mininet start
2021-10-19 13:53:55,190 | 6832 | tracing_net.api.ws_server, connect, 274 | INFO | connect sid=WPKh6sZJH5h4OoHJAAAB
2021-10-19 13:55:03,748 | 6832 | tracing_net.api.ws_server, emit2net, 109 | DEBUG | MessageHub receives messages from clients and emits them to the vnet. (event=WSEvent.ADD_SWITCH, param={'name': 's0', 'dpid': ''})
2021-10-19 13:55:03,779 | 6820 | tracing_net.api.ws_server, get_from_client, 123 | DEBUG | MessageHub receives messages from clients. (response={'event': 'add_switch', 'param': {'name': 's0', 'dpid': ''}})
2021-10-19 13:55:03,784 | 6820 | tracing_net.net, add_switch, 116 | DEBUG | added the switch (s0)
2021-10-19 13:55:05,042 | 6832 | tracing_net.api.ws_server, emit2net, 109 | DEBUG | MessageHub receives messages from clients and emits them to the vnet. (event=WSEvent.ADD_HOST, param={'name': 'h0', 'ip': '', 'mac': ''})
2021-10-19 13:55:05,064 | 6820 | tracing_net.api.ws_server, get_from_client, 123 | DEBUG | MessageHub receives messages from clients. (response={'event': 'add_host', 'param': {'name': 'h0', 'ip': '', 'mac': ''}})
2021-10-19 13:55:05,083 | 6820 | tracing_net.net, add_host, 164 | DEBUG | added the host (h0)
2021-10-19 13:55:06,301 | 6832 | tracing_net.api.ws_server, emit2net, 109 | DEBUG | MessageHub receives messages from clients and emits them to the vnet. (event=WSEvent.ADD_LINK, param={'link_name': 'e0', 'host_name1': 'h0', 'host_name2': 's0'})
2021-10-19 13:55:06,305 | 6820 | tracing_net.api.ws_server, get_from_client, 123 | DEBUG | MessageHub receives messages from clients. (response={'event': 'add_link', 'param': {'link_name': 'e0', 'host_name1': 'h0', 'host_name2': 's0'}})
2021-10-19 13:55:06,308 | 6820 | tracing_net.net, add_link, 203 | DEBUG | added the link (e0) between h0 and s0
2021-10-19 13:55:07,790 | 6832 | tracing_net.api.ws_server, emit2net, 109 | DEBUG | MessageHub receives messages from clients and emits them to the vnet. (event=WSEvent.ADD_HOST, param={'name': 'h1', 'ip': '', 'mac': ''})
2021-10-19 13:55:07,797 | 6820 | tracing_net.api.ws_server, get_from_client, 123 | DEBUG | MessageHub receives messages from clients. (response={'event': 'add_host', 'param': {'name': 'h1', 'ip': '', 'mac': ''}})
2021-10-19 13:55:07,798 | 6820 | tracing_net.net, add_host, 164 | DEBUG | added the host (h1)
2021-10-19 13:55:08,951 | 6832 | tracing_net.api.ws_server, emit2net, 109 | DEBUG | MessageHub receives messages from clients and emits them to the vnet. (event=WSEvent.ADD_LINK, param={'link_name': 'e1', 'host_name1': 'h1', 'host_name2': 's0'})
2021-10-19 13:55:08,960 | 6820 | tracing_net.api.ws_server, get_from_client, 123 | DEBUG | MessageHub receives messages from clients. (response={'event': 'add_link', 'param': {'link_name': 'e1', 'host_name1': 'h1', 'host_name2': 's0'}})
2021-10-19 13:55:08,967 | 6820 | tracing_net.net, add_link, 203 | DEBUG | added the link (e1) between h1 and s0
2021-10-19 13:55:14,474 | 6832 | tracing_net.api.ws_server, emit2net, 109 | DEBUG | MessageHub receives messages from clients and emits them to the vnet. (event=WSEvent.START_TRACING, param={})
2021-10-19 13:55:14,478 | 6820 | tracing_net.api.ws_server, get_from_client, 123 | DEBUG | MessageHub receives messages from clients. (response={'event': 'start_tracing', 'param': {}})
2021-10-19 13:55:14,483 | 6820 | tracing_net.net, start_tracing, 525 | INFO | tracing start
2021-10-19 13:55:14,483 | 6820 | tracing_net.net, start_tracing, 527 | DEBUG | ipv6 is disable
2021-10-19 13:55:14,524 | 6820 | tracing_net.packet_capture_manager, start_capture, 87 | DEBUG | capture process (h0-eth0:None) started
2021-10-19 13:55:14,530 | 6820 | tracing_net.packet_capture_manager, start_capture, 87 | DEBUG | capture process (h1-eth0:None) started
2021-10-19 13:55:14,531 | 6927 | tracing_net.util.packet_capture, start_capture, 58 | INFO | packet capture start on h0-eth0
2021-10-19 13:55:14,538 | 6820 | tracing_net.flowtable.flow_monitor, __init__, 46 | INFO | flow monitor start : s0
2021-10-19 13:55:14,550 | 6929 | tracing_net.util.packet_capture, start_capture, 58 | INFO | packet capture start on h1-eth0
2021-10-19 13:55:14,592 | 6932 | tracing_net.flowtable.flow_monitor, flow_monitor, 99 | DEBUG | flow monitor get result NXST_FLOW_MONITOR reply (xid=0x4):
2021-10-19 13:55:14,593 | 6932 | tracing_net.flowtable.flow_monitor, flow_monitor, 99 | DEBUG | flow monitor get result event=ADDED table=0 cookie=0 actions=CONTROLLER:65535
2021-10-19 13:55:15,564 | 6932 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s0
