2021-10-25 01:17:09,802 | 3986 | ofcapture.proxy.proxy, start_server, 231 | INFO | Server on ('127.0.0.1', 63333)
2021-10-25 01:17:09,811 | 3986 | ofcapture.proxy.proxy, start_server, 234 | INFO | Server serve forever ('127.0.0.1', 63333)
2021-10-25 01:17:09,939 | 3986 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 58892) is connected
2021-10-25 01:17:09,942 | 3986 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-25 01:17:10,225 | 3986 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 58896) is connected
2021-10-25 01:17:10,227 | 3986 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-25 01:17:10,650 | 3986 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 58900) is connected
2021-10-25 01:17:10,651 | 3986 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 58902) is connected
2021-10-25 01:17:10,652 | 3986 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-25 01:17:10,652 | 3986 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-25 01:17:11,647 | 3986 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 58928) is connected
2021-10-25 01:17:11,649 | 3986 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 58930) is connected
2021-10-25 01:17:11,651 | 3986 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-25 01:17:11,654 | 3986 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-25 01:17:11,824 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:17:12,649 | 3986 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 59016) is connected
2021-10-25 01:17:12,661 | 3986 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 59018) is connected
2021-10-25 01:17:12,665 | 3986 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-25 01:17:12,666 | 3986 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-25 01:17:13,653 | 3986 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 59098) is connected
2021-10-25 01:17:13,657 | 3986 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 59100) is connected
2021-10-25 01:17:13,661 | 3986 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-25 01:17:13,669 | 3986 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-25 01:17:13,828 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:17:14,653 | 3986 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 59132) is connected
2021-10-25 01:17:14,654 | 3986 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 59134) is connected
2021-10-25 01:17:14,655 | 3986 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-25 01:17:14,655 | 3986 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-25 01:17:15,651 | 3986 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 59140) is connected
2021-10-25 01:17:15,662 | 3986 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 59142) is connected
2021-10-25 01:17:15,670 | 3986 | ofcapture.proxy.proxy, handle_controller, 364 | INFO | connected Controller ('127.0.0.1', 6633)
2021-10-25 01:17:15,671 | 3986 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_HELLO Hello(xid=UBInt32(45)) {'header': {'version': 4, 'message_type': 0, 'length': 8, 'xid': 45}, 'elements': []}
2021-10-25 01:17:15,677 | 3986 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_HELLO Hello(xid=UBInt32(46)) {'header': {'version': 4, 'message_type': 0, 'length': 8, 'xid': 46}, 'elements': []}
2021-10-25 01:17:15,680 | 3986 | ofcapture.proxy.proxy, handle_controller, 364 | INFO | connected Controller ('127.0.0.1', 6633)
2021-10-25 01:17:15,682 | 3986 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_HELLO Hello(xid=UBInt32(4111513621)) {'header': {'version': 4, 'message_type': 0, 'length': 8, 'xid': 4111513621}, 'elements': [{'element_type': 1029, 'length': 8, 'content': b'\xf5\x10\xb8\x16'}]}
2021-10-25 01:17:15,689 | 3986 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_HELLO Hello(xid=UBInt32(1899693941)) {'header': {'version': 4, 'message_type': 0, 'length': 8, 'xid': 1899693941}, 'elements': [{'element_type': 1029, 'length': 8, 'content': b'q;\x07v'}]}
2021-10-25 01:17:15,691 | 3986 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_FEATURES_REPLY FeaturesReply(xid=UBInt32(4111513622)) {'header': {'version': 4, 'message_type': 6, 'length': 32, 'xid': 4111513622}, 'datapath_id': '00:00:00:00:00:00:00:01', 'n_buffers': 0, 'n_tables': 254, 'auxiliary_id': 0, 'pad': None, 'capabilities': '79', 'reserved': 0}
2021-10-25 01:17:15,697 | 3986 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_FEATURES_REPLY FeaturesReply(xid=UBInt32(1899693942)) {'header': {'version': 4, 'message_type': 6, 'length': 32, 'xid': 1899693942}, 'datapath_id': '00:00:72:a2:16:0d:83:46', 'n_buffers': 0, 'n_tables': 254, 'auxiliary_id': 0, 'pad': None, 'capabilities': '79', 'reserved': 0}
2021-10-25 01:17:15,817 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:17:17,816 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:17:19,818 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:17:21,818 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:17:23,817 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:17:25,817 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:17:27,829 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:17:29,818 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:17:31,817 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:17:33,819 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:17:35,817 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:17:37,829 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:17:39,816 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:17:41,819 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:17:43,816 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:17:45,818 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:17:47,835 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:17:49,831 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:17:51,817 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:17:53,817 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:17:55,818 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:17:57,818 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:17:59,817 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:18:01,817 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:18:03,817 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:18:05,833 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:18:07,816 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:18:09,817 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:18:11,816 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:18:13,817 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:18:15,817 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:18:17,836 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:18:19,818 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:18:21,818 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:18:23,817 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:18:25,831 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:18:27,817 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:18:29,817 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:18:31,820 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:18:33,823 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:18:35,817 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:18:37,819 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:18:39,823 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:18:41,829 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:18:43,819 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:18:45,819 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:18:47,819 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:18:49,830 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:18:51,832 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 01:18:53,817 | 3976 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
