2021-09-22 01:47:42,130 | 3748 | ofcapture.proxy.proxy, start_server, 231 | INFO | Server on ('127.0.0.1', 63333)
2021-09-22 01:47:42,134 | 3748 | ofcapture.proxy.proxy, start_server, 234 | INFO | Server serve forever ('127.0.0.1', 63333)
2021-09-22 01:47:42,291 | 3748 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 32804) is connected
2021-09-22 01:47:42,295 | 3748 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-09-22 01:47:42,573 | 3748 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 32808) is connected
2021-09-22 01:47:42,575 | 3748 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-09-22 01:47:42,758 | 3748 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 32812) is connected
2021-09-22 01:47:42,765 | 3748 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 32814) is connected
2021-09-22 01:47:42,776 | 3748 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-09-22 01:47:42,777 | 3748 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-09-22 01:47:43,755 | 3748 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 32820) is connected
2021-09-22 01:47:43,756 | 3748 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 32822) is connected
2021-09-22 01:47:43,756 | 3748 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-09-22 01:47:43,757 | 3748 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-09-22 01:47:44,757 | 3748 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 32888) is connected
2021-09-22 01:47:44,758 | 3748 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 32890) is connected
2021-09-22 01:47:44,759 | 3748 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-09-22 01:47:44,760 | 3748 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-09-22 01:47:44,896 | 3738 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-09-22 01:47:44,902 | 3738 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-09-22 01:47:45,756 | 3748 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 32956) is connected
2021-09-22 01:47:45,757 | 3748 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 32958) is connected
2021-09-22 01:47:45,758 | 3748 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-09-22 01:47:45,759 | 3748 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-09-22 01:47:46,789 | 3748 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 32964) is connected
2021-09-22 01:47:46,792 | 3748 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 32966) is connected
2021-09-22 01:47:46,796 | 3748 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-09-22 01:47:46,800 | 3748 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-09-22 01:47:46,889 | 3738 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-09-22 01:47:46,890 | 3738 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-09-22 01:47:47,758 | 3748 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 32972) is connected
2021-09-22 01:47:47,769 | 3748 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 32974) is connected
2021-09-22 01:47:47,776 | 3748 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-09-22 01:47:47,780 | 3748 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-09-22 01:47:48,764 | 3748 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 32980) is connected
2021-09-22 01:47:48,765 | 3748 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 32982) is connected
