2021-11-17 04:59:29,950 | 4297 | tracing_net.net, __init__, 99 | INFO | set up on-demand mininet
2021-11-17 04:59:29,951 | 4297 | tracing_of_pipeline, start, 123 | INFO | OpenFlow Tracer Start
2021-11-17 04:59:29,958 | 4297 | tracing_net.net, start, 312 | INFO | mininet start
2021-11-17 04:59:29,961 | 4297 | tracing_of_pipeline.analyzer, start_analyzing, 141 | INFO | start analyzing interval (start_time = 1637125169.961023, interval = 2)
2021-11-17 04:59:29,963 | 4297 | tracing_net.net, add_switch, 116 | DEBUG | added the switch (s1)
2021-11-17 04:59:30,107 | 4297 | tracing_net.net, add_host, 164 | DEBUG | added the host (h1)
2021-11-17 04:59:30,160 | 4297 | tracing_net.net, add_link, 203 | DEBUG | added the link (l2) between s1 and h1
2021-11-17 04:59:30,208 | 4297 | tracing_net.net, add_switch, 116 | DEBUG | added the switch (s2)
2021-11-17 04:59:30,267 | 4297 | tracing_net.net, add_link, 203 | DEBUG | added the link (l1) between s1 and s2
2021-11-17 04:59:30,368 | 4297 | tracing_net.net, add_host, 164 | DEBUG | added the host (h2)
2021-11-17 04:59:30,402 | 4297 | tracing_net.net, add_link, 203 | DEBUG | added the link (l3) between s2 and h2
2021-11-17 04:59:30,491 | 4297 | tracing_net.net, add_host, 164 | DEBUG | added the host (h3)
2021-11-17 04:59:30,530 | 4297 | tracing_net.net, add_link, 203 | DEBUG | added the link (l4) between s1 and h3
2021-11-17 04:59:30,645 | 4297 | tracing_net.net, start_tracing, 526 | INFO | tracing start
2021-11-17 04:59:30,646 | 4297 | tracing_net.net, start_tracing, 528 | DEBUG | ipv6 is disable
2021-11-17 04:59:30,693 | 4297 | tracing_net.packet_capture_manager, start_capture, 88 | DEBUG | capture process (s1-eth1:4461) started
2021-11-17 04:59:30,697 | 4461 | tracing_net.util.packet_capture, start_capture, 65 | INFO | packet capture start on s1-eth1
2021-11-17 04:59:30,703 | 4297 | tracing_net.packet_capture_manager, start_capture, 88 | DEBUG | capture process (s1-eth2:4463) started
2021-11-17 04:59:30,708 | 4463 | tracing_net.util.packet_capture, start_capture, 65 | INFO | packet capture start on s1-eth2
2021-11-17 04:59:30,720 | 4297 | tracing_net.packet_capture_manager, start_capture, 88 | DEBUG | capture process (s2-eth2:4466) started
2021-11-17 04:59:30,736 | 4466 | tracing_net.util.packet_capture, start_capture, 65 | INFO | packet capture start on s2-eth2
2021-11-17 04:59:30,739 | 4297 | tracing_net.packet_capture_manager, start_capture, 88 | DEBUG | capture process (s1-eth3:4469) started
2021-11-17 04:59:30,742 | 4297 | tracing_net.flowtable.flow_monitor, __init__, 46 | INFO | flow monitor start : s1
2021-11-17 04:59:30,744 | 4469 | tracing_net.util.packet_capture, start_capture, 65 | INFO | packet capture start on s1-eth3
2021-11-17 04:59:30,756 | 4297 | tracing_net.flowtable.flow_monitor, __init__, 46 | INFO | flow monitor start : s2
2021-11-17 04:59:31,765 | 4472 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-11-17 04:59:31,783 | 4475 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s2
2021-11-17 04:59:31,865 | 4472 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-11-17 04:59:31,896 | 4475 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s2
2021-11-17 04:59:31,962 | 4297 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-11-17 04:59:31,963 | 4297 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-11-17 04:59:31,964 | 4297 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-11-17 04:59:31,965 | 4297 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-11-17 04:59:31,965 | 4472 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-11-17 04:59:31,969 | 4297 | tracing_of_pipeline.analyzer, _poll_packet_inout_repo, 598 | DEBUG | tmp_p = [], s_dpip = 1
2021-11-17 04:59:31,971 | 4297 | tracing_of_pipeline.analyzer, _poll_packet_inout_repo, 598 | DEBUG | tmp_p = [], s_dpip = 2
2021-11-17 04:59:31,974 | 4297 | tracing_of_pipeline.analyzer, _polling, 551 | DEBUG | polled repository (start_time=1637125169.961023, until=0) values = {'l2': [], 'l1': [], 'l3': [], 'l4': []} {'s1': [], 's2': []}
2021-11-17 04:59:31,975 | 4297 | tracing_of_pipeline.analyzer, analyze, 196 | DEBUG | Analyzing 1... polled repository (count=0)
2021-11-17 04:59:31,978 | 4297 | tracing_of_pipeline.analyzer, analyze, 249 | WARNING | No packet in edge l2
2021-11-17 04:59:31,979 | 4297 | tracing_of_pipeline.analyzer, analyze, 249 | WARNING | No packet in edge l1
2021-11-17 04:59:31,980 | 4297 | tracing_of_pipeline.analyzer, analyze, 249 | WARNING | No packet in edge l3
2021-11-17 04:59:31,980 | 4297 | tracing_of_pipeline.analyzer, analyze, 249 | WARNING | No packet in edge l4
2021-11-17 04:59:31,986 | 4475 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s2
2021-11-17 04:59:32,065 | 4472 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-11-17 04:59:32,083 | 4475 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s2
2021-11-17 04:59:32,165 | 4472 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-11-17 04:59:32,183 | 4475 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s2
2021-11-17 04:59:32,265 | 4472 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-11-17 04:59:32,284 | 4475 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s2
2021-11-17 04:59:32,372 | 4472 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-11-17 04:59:32,386 | 4475 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s2
2021-11-17 04:59:32,466 | 4472 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-11-17 04:59:32,483 | 4475 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s2
2021-11-17 04:59:32,565 | 4472 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-11-17 04:59:32,583 | 4475 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s2
2021-11-17 04:59:32,665 | 4472 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-11-17 04:59:32,683 | 4475 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s2
2021-11-17 04:59:32,767 | 4472 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-11-17 04:59:32,789 | 4475 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s2
2021-11-17 04:59:32,869 | 4472 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-11-17 04:59:32,883 | 4475 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s2
2021-11-17 04:59:32,966 | 4472 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-11-17 04:59:32,986 | 4475 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s2
2021-11-17 04:59:33,069 | 4472 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-11-17 04:59:33,083 | 4475 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s2
2021-11-17 04:59:33,166 | 4472 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-11-17 04:59:33,183 | 4475 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s2
2021-11-17 04:59:33,265 | 4472 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-11-17 04:59:33,283 | 4475 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s2
2021-11-17 04:59:33,385 | 4472 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-11-17 04:59:33,386 | 4475 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s2
2021-11-17 04:59:33,487 | 4472 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-11-17 04:59:33,487 | 4475 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s2
2021-11-17 04:59:33,573 | 4472 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-11-17 04:59:33,583 | 4475 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s2
2021-11-17 04:59:33,678 | 4472 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-11-17 04:59:33,683 | 4475 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s2
2021-11-17 04:59:33,770 | 4472 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-11-17 04:59:33,783 | 4475 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s2
2021-11-17 04:59:33,872 | 4472 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-11-17 04:59:33,883 | 4475 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s2
2021-11-17 04:59:33,962 | 4297 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-11-17 04:59:33,963 | 4297 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-11-17 04:59:33,964 | 4297 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-11-17 04:59:33,965 | 4297 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-11-17 04:59:33,965 | 4472 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-11-17 04:59:33,970 | 4297 | tracing_of_pipeline.analyzer, _poll_packet_inout_repo, 598 | DEBUG | tmp_p = [], s_dpip = 1
2021-11-17 04:59:33,972 | 4297 | tracing_of_pipeline.analyzer, _poll_packet_inout_repo, 598 | DEBUG | tmp_p = [], s_dpip = 2
2021-11-17 04:59:33,972 | 4297 | tracing_of_pipeline.analyzer, _polling, 551 | DEBUG | polled repository (start_time=1637125169.961023, until=1) values = {'l2': [], 'l1': [], 'l3': [], 'l4': []} {'s1': [], 's2': []}
2021-11-17 04:59:33,973 | 4297 | tracing_of_pipeline.analyzer, analyze, 196 | DEBUG | Analyzing 1... polled repository (count=1)
2021-11-17 04:59:33,974 | 4297 | tracing_of_pipeline.analyzer, analyze, 249 | WARNING | No packet in edge l2
2021-11-17 04:59:33,974 | 4297 | tracing_of_pipeline.analyzer, analyze, 249 | WARNING | No packet in edge l1
2021-11-17 04:59:33,975 | 4297 | tracing_of_pipeline.analyzer, analyze, 249 | WARNING | No packet in edge l3
2021-11-17 04:59:33,975 | 4297 | tracing_of_pipeline.analyzer, analyze, 249 | WARNING | No packet in edge l4
2021-11-17 04:59:33,983 | 4475 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s2
2021-11-17 04:59:34,081 | 4472 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-11-17 04:59:34,083 | 4475 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s2
2021-11-17 04:59:34,182 | 4472 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-11-17 04:59:34,183 | 4475 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s2
2021-11-17 04:59:34,265 | 4472 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-11-17 04:59:34,283 | 4475 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s2
2021-11-17 04:59:34,378 | 4472 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-11-17 04:59:34,383 | 4475 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s2
2021-11-17 04:59:34,470 | 4472 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-11-17 04:59:34,483 | 4475 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s2
2021-11-17 04:59:34,565 | 4472 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-11-17 04:59:34,583 | 4475 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s2
2021-11-17 04:59:34,667 | 4472 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-11-17 04:59:34,683 | 4475 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s2
2021-11-17 04:59:34,764 | 4472 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-11-17 04:59:34,783 | 4475 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s2
2021-11-17 04:59:34,865 | 4472 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-11-17 04:59:34,883 | 4475 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s2
2021-11-17 04:59:34,965 | 4472 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-11-17 04:59:34,983 | 4475 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s2
2021-11-17 04:59:35,066 | 4472 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-11-17 04:59:35,083 | 4475 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s2
2021-11-17 04:59:35,165 | 4472 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-11-17 04:59:35,183 | 4475 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s2
