2021-07-21 01:25:36,636 | 9277 | ofcapture.proxy.proxy, start_server, 231 | INFO | Server on ('127.0.0.1', 63333)
2021-07-21 01:25:36,639 | 9277 | ofcapture.proxy.proxy, start_server, 234 | INFO | Server serve forever ('127.0.0.1', 63333)
2021-07-21 01:25:36,748 | 9277 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 45202) is connected
2021-07-21 01:25:36,753 | 9277 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-07-21 01:25:36,793 | 9277 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 45206) is connected
2021-07-21 01:25:36,795 | 9277 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-07-21 01:25:36,996 | 9277 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 45210) is connected
2021-07-21 01:25:37,000 | 9277 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-07-21 01:25:37,812 | 9277 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 45214) is connected
2021-07-21 01:25:37,815 | 9277 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 45216) is connected
2021-07-21 01:25:37,817 | 9277 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-07-21 01:25:37,866 | 9277 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-07-21 01:25:38,801 | 9277 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 45222) is connected
2021-07-21 01:25:38,874 | 9277 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 45224) is connected
2021-07-21 01:25:38,880 | 9277 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-07-21 01:25:38,882 | 9277 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-07-21 01:25:39,708 | 9267 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-07-21 01:25:39,709 | 9267 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-07-21 01:25:39,798 | 9277 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 45290) is connected
2021-07-21 01:25:39,801 | 9277 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 45292) is connected
2021-07-21 01:25:39,802 | 9277 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-07-21 01:25:39,807 | 9277 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-07-21 01:25:40,796 | 9277 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 45358) is connected
2021-07-21 01:25:40,799 | 9277 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 45360) is connected
2021-07-21 01:25:40,800 | 9277 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-07-21 01:25:40,807 | 9277 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-07-21 01:25:41,708 | 9267 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-07-21 01:25:41,709 | 9267 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-07-21 01:25:41,797 | 9277 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 45366) is connected
2021-07-21 01:25:41,805 | 9277 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 45368) is connected
2021-07-21 01:25:41,813 | 9277 | ofcapture.proxy.proxy, handle_controller, 364 | INFO | connected Controller ('127.0.0.1', 6633)
2021-07-21 01:25:41,815 | 9277 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_HELLO Hello(xid=UBInt32(892)) {'header': {'version': 4, 'message_type': 0, 'length': 8, 'xid': 892}, 'elements': []}
2021-07-21 01:25:41,825 | 9277 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_HELLO Hello(xid=UBInt32(891)) {'header': {'version': 4, 'message_type': 0, 'length': 8, 'xid': 891}, 'elements': []}
2021-07-21 01:25:41,833 | 9277 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_HELLO Hello(xid=UBInt32(3487730175)) {'header': {'version': 4, 'message_type': 0, 'length': 8, 'xid': 3487730175}, 'elements': []}
2021-07-21 01:25:41,837 | 9277 | ofcapture.proxy.proxy, handle_controller, 364 | INFO | connected Controller ('127.0.0.1', 6633)
2021-07-21 01:25:41,838 | 9277 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_HELLO Hello(xid=UBInt32(2059631190)) {'header': {'version': 4, 'message_type': 0, 'length': 8, 'xid': 2059631190}, 'elements': []}
2021-07-21 01:25:41,851 | 9277 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_FEATURES_REQUEST FeaturesRequest(xid=UBInt32(3487730176)) {'header': {'version': 4, 'message_type': 5, 'length': 8, 'xid': 3487730176}}
2021-07-21 01:25:41,852 | 9277 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_FEATURES_REQUEST FeaturesRequest(xid=UBInt32(2059631191)) {'header': {'version': 4, 'message_type': 5, 'length': 8, 'xid': 2059631191}}
2021-07-21 01:25:41,855 | 9277 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_FEATURES_REPLY FeaturesReply(xid=UBInt32(3487730176)) {'header': {'version': 4, 'message_type': 6, 'length': 32, 'xid': 3487730176}, 'datapath_id': {'enum_ref': None}, 'n_buffers': 0, 'n_tables': 254, 'auxiliary_id': 0, 'pad': {'enum_ref': None}, 'capabilities': '79', 'reserved': 0}
2021-07-21 01:25:41,868 | 9277 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_FEATURES_REPLY FeaturesReply(xid=UBInt32(2059631191)) {'header': {'version': 4, 'message_type': 6, 'length': 32, 'xid': 2059631191}, 'datapath_id': {'enum_ref': None}, 'n_buffers': 0, 'n_tables': 254, 'auxiliary_id': 0, 'pad': {'enum_ref': None}, 'capabilities': '79', 'reserved': 0}
2021-07-21 01:25:41,901 | 9277 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_MULTIPART_REQUEST MultipartRequest(xid=UBInt32(3487730177)) {'header': {'version': 4, 'message_type': 18, 'length': 16, 'xid': 3487730177}, 'multipart_type': 13, 'flags': {}, 'pad': {'enum_ref': None}, 'body': {'enum_ref': None}}
2021-07-21 01:25:41,915 | 9277 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_MULTIPART_REQUEST MultipartRequest(xid=UBInt32(2059631192)) {'header': {'version': 4, 'message_type': 18, 'length': 16, 'xid': 2059631192}, 'multipart_type': 13, 'flags': {}, 'pad': {'enum_ref': None}, 'body': {'enum_ref': None}}
