2021-11-09 07:30:39,529 | 4538 | ofcapture.proxy.proxy, start_server, 231 | INFO | Server on ('127.0.0.1', 63333)
2021-11-09 07:30:39,533 | 4538 | ofcapture.proxy.proxy, start_server, 234 | INFO | Server serve forever ('127.0.0.1', 63333)
2021-11-09 07:30:39,642 | 4538 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 46484) is connected
2021-11-09 07:30:39,646 | 4538 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-11-09 07:30:39,859 | 4538 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 46488) is connected
2021-11-09 07:30:39,862 | 4538 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-11-09 07:30:40,161 | 4538 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 46492) is connected
2021-11-09 07:30:40,165 | 4538 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 46494) is connected
2021-11-09 07:30:40,167 | 4538 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-11-09 07:30:40,182 | 4538 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-11-09 07:30:41,089 | 4538 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 46500) is connected
2021-11-09 07:30:41,093 | 4538 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 46502) is connected
2021-11-09 07:30:41,096 | 4538 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-11-09 07:30:41,099 | 4538 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-11-09 07:30:41,532 | 4528 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-11-09 07:30:41,533 | 4528 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-11-09 07:30:42,086 | 4538 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 46508) is connected
2021-11-09 07:30:42,089 | 4538 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 46510) is connected
2021-11-09 07:30:42,093 | 4538 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-11-09 07:30:42,107 | 4538 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-11-09 07:30:43,089 | 4538 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 46636) is connected
2021-11-09 07:30:43,093 | 4538 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 46638) is connected
2021-11-09 07:30:43,097 | 4538 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-11-09 07:30:43,100 | 4538 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-11-09 07:30:43,538 | 4528 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-11-09 07:30:43,539 | 4528 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-11-09 07:30:44,090 | 4538 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 46684) is connected
2021-11-09 07:30:44,096 | 4538 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 46686) is connected
2021-11-09 07:30:44,113 | 4538 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-11-09 07:30:44,113 | 4538 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-11-09 07:30:45,088 | 4538 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 46692) is connected
2021-11-09 07:30:45,105 | 4538 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 46694) is connected
2021-11-09 07:30:45,114 | 4538 | ofcapture.proxy.proxy, handle_controller, 364 | INFO | connected Controller ('127.0.0.1', 6633)
2021-11-09 07:30:45,116 | 4538 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_HELLO Hello(xid=UBInt32(249)) {'header': {'version': 4, 'message_type': 0, 'length': 8, 'xid': 249}, 'elements': []}
2021-11-09 07:30:45,124 | 4538 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_HELLO Hello(xid=UBInt32(250)) {'header': {'version': 4, 'message_type': 0, 'length': 8, 'xid': 250}, 'elements': []}
2021-11-09 07:30:45,128 | 4538 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_HELLO Hello(xid=UBInt32(1209188924)) {'header': {'version': 4, 'message_type': 0, 'length': 8, 'xid': 1209188924}, 'elements': []}
2021-11-09 07:30:45,132 | 4538 | ofcapture.proxy.proxy, handle_controller, 364 | INFO | connected Controller ('127.0.0.1', 6633)
2021-11-09 07:30:45,137 | 4538 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_HELLO Hello(xid=UBInt32(2705433214)) {'header': {'version': 4, 'message_type': 0, 'length': 8, 'xid': 2705433214}, 'elements': []}
2021-11-09 07:30:45,148 | 4538 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_FEATURES_REQUEST FeaturesRequest(xid=UBInt32(1209188925)) {'header': {'version': 4, 'message_type': 5, 'length': 8, 'xid': 1209188925}}
2021-11-09 07:30:45,150 | 4538 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_FEATURES_REQUEST FeaturesRequest(xid=UBInt32(2705433215)) {'header': {'version': 4, 'message_type': 5, 'length': 8, 'xid': 2705433215}}
2021-11-09 07:30:45,152 | 4538 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_FEATURES_REPLY FeaturesReply(xid=UBInt32(1209188925)) {'header': {'version': 4, 'message_type': 6, 'length': 32, 'xid': 1209188925}, 'datapath_id': '00:00:00:00:00:00:00:01', 'n_buffers': 0, 'n_tables': 254, 'auxiliary_id': 0, 'pad': None, 'capabilities': '79', 'reserved': 0}
2021-11-09 07:30:45,153 | 4538 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_FEATURES_REPLY FeaturesReply(xid=UBInt32(2705433215)) {'header': {'version': 4, 'message_type': 6, 'length': 32, 'xid': 2705433215}, 'datapath_id': '00:00:00:00:00:00:00:02', 'n_buffers': 0, 'n_tables': 254, 'auxiliary_id': 0, 'pad': None, 'capabilities': '79', 'reserved': 0}
