2021-10-20 01:44:49,609 | 9142 | ofcapture.proxy.proxy, start_server, 231 | INFO | Server on ('127.0.0.1', 63333)
2021-10-20 01:44:49,611 | 9142 | ofcapture.proxy.proxy, start_server, 234 | INFO | Server serve forever ('127.0.0.1', 63333)
2021-10-20 01:45:07,727 | 9142 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 59168) is connected
2021-10-20 01:45:07,733 | 9142 | ofcapture.proxy.proxy, handle_controller, 364 | INFO | connected Controller ('127.0.0.1', 6633)
2021-10-20 01:45:07,742 | 9142 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_HELLO Hello(xid=UBInt32(3481937384)) {'header': {'version': 4, 'message_type': 0, 'length': 8, 'xid': 3481937384}, 'elements': []}
2021-10-20 01:45:07,747 | 9142 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_HELLO Hello(xid=UBInt32(1211)) {'header': {'version': 4, 'message_type': 0, 'length': 8, 'xid': 1211}, 'elements': []}
2021-10-20 01:45:07,751 | 9142 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_FEATURES_REQUEST FeaturesRequest(xid=UBInt32(3481937385)) {'header': {'version': 4, 'message_type': 5, 'length': 8, 'xid': 3481937385}}
2021-10-20 01:45:07,775 | 9142 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_PORT_STATUS PortStatus(xid=UBInt32(0)) {'header': {'version': 4, 'message_type': 12, 'length': 80, 'xid': 0}, 'reason': {}, 'pad': None, 'desc': {'port_no': 4294967294, 'pad': None, 'hw_addr': 'ca:68:02:41:c9:43', 'pad2': None, 'name': 's0', 'config': '1', 'state': '1', 'curr': '0', 'advertised': '0', 'supported': '0', 'peer': '0', 'curr_speed': 0, 'max_speed': 0}}
2021-10-20 01:45:07,782 | 9142 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_MULTIPART_REQUEST MultipartRequest(xid=UBInt32(3481937386)) {'header': {'version': 4, 'message_type': 18, 'length': 16, 'xid': 3481937386}, 'multipart_type': 13, 'flags': {}, 'pad': None, 'body': b'\x04\x0e\x00P\xcf\x8a%\xeb\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xff\xff\xff\xff\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x04\x00\x00\x00\x00\x00\x04\x00\x18\x00\x00\x00\x00\x00\x00\x00\x10\xff\xff\xff\xfd\xff\xff\x00\x00\x00\x00\x00\x00'}
2021-10-20 01:45:07,792 | 9142 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_MULTIPART_REPLY MultipartReply(xid=UBInt32(3481937386)) {'header': {'version': 4, 'message_type': 19, 'length': 80, 'xid': 3481937386}, 'multipart_type': 13, 'flags': 0, 'pad': None, 'body': [{'port_no': 4294967294, 'pad': None, 'hw_addr': 'ca:68:02:41:c9:43', 'pad2': None, 'name': 's0', 'config': '1', 'state': '1', 'curr': '0', 'advertised': '0', 'supported': '0', 'peer': '0', 'curr_speed': 0, 'max_speed': 0}]}
2021-10-20 01:45:10,294 | 9142 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_PORT_STATUS PortStatus(xid=UBInt32(0)) {'header': {'version': 4, 'message_type': 12, 'length': 80, 'xid': 0}, 'reason': {}, 'pad': None, 'desc': {'port_no': 1, 'pad': None, 'hw_addr': '4a:65:c4:ed:57:0d', 'pad2': None, 'name': 's0-eth1', 'config': '0', 'state': '0', 'curr': '2112', 'advertised': '0', 'supported': '0', 'peer': '0', 'curr_speed': 10000000, 'max_speed': 0}}
2021-10-20 01:45:10,296 | 9142 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_PORT_STATUS PortStatus(xid=UBInt32(0)) {'header': {'version': 4, 'message_type': 12, 'length': 80, 'xid': 0}, 'reason': {}, 'pad': None, 'desc': {'port_no': 1, 'pad': None, 'hw_addr': '4a:65:c4:ed:57:0d', 'pad2': None, 'name': 's0-eth1', 'config': '0', 'state': '4', 'curr': '2112', 'advertised': '0', 'supported': '0', 'peer': '0', 'curr_speed': 10000000, 'max_speed': 0}}
2021-10-20 01:45:10,302 | 9142 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_PORT_STATUS PortStatus(xid=UBInt32(0)) {'header': {'version': 4, 'message_type': 12, 'length': 80, 'xid': 0}, 'reason': {}, 'pad': None, 'desc': {'port_no': 1, 'pad': None, 'hw_addr': '4a:65:c4:ed:57:0d', 'pad2': None, 'name': 's0-eth1', 'config': '0', 'state': '4', 'curr': '2112', 'advertised': '0', 'supported': '0', 'peer': '0', 'curr_speed': 10000000, 'max_speed': 0}}
2021-10-20 01:45:11,033 | 9142 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_PACKET_IN PacketIn(xid=UBInt32(0)) {'header': {'version': 4, 'message_type': 10, 'length': 128, 'xid': 0}, 'buffer_id': 4294967295, 'total_len': 86, 'reason': {}, 'table_id': 0, 'cookie': 0, 'match': {'match_type': {}, 'length': 12, 'oxm_match_fields': [{'oxm_class': {}, 'oxm_field_and_mask': 0, 'oxm_length': 4, 'oxm_value': [0, 0, 0, 1], 'oxm_field': 0, 'oxm_hasmask': False}]}, 'pad': None, 'data': b'33\xffT&\xc3\x0ee\xfbT&\xc3\x86\xdd`\x00\x00\x00\x00 :\xff\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xff\x02\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\xffT&\xc3\x87\x00[g\x00\x00\x00\x00\xfe\x80\x00\x00\x00\x00\x00\x00\x0ce\xfb\xff\xfeT&\xc3\x0e\x01=P\x1bBe\x90'}
2021-10-20 01:45:11,047 | 9142 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_PACKET_OUT PacketOut(xid=UBInt32(3481937388)) {'header': {'version': 4, 'message_type': 13, 'length': 126, 'xid': 3481937388}, 'buffer_id': 4294967295, 'in_port': 1, 'actions_len': 16, 'pad': None, 'actions': [{'action_type': {}, 'length': 16, 'port': 4294967291, 'max_length': 65509, 'pad': None}], 'data': b'33\xffT&\xc3\x0ee\xfbT&\xc3\x86\xdd`\x00\x00\x00\x00 :\xff\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xff\x02\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\xffT&\xc3\x87\x00[g\x00\x00\x00\x00\xfe\x80\x00\x00\x00\x00\x00\x00\x0ce\xfb\xff\xfeT&\xc3\x0e\x01=P\x1bBe\x90'}
2021-10-20 01:45:11,092 | 9142 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_PACKET_IN PacketIn(xid=UBInt32(0)) {'header': {'version': 4, 'message_type': 10, 'length': 132, 'xid': 0}, 'buffer_id': 4294967295, 'total_len': 90, 'reason': {}, 'table_id': 0, 'cookie': 0, 'match': {'match_type': {}, 'length': 12, 'oxm_match_fields': [{'oxm_class': {}, 'oxm_field_and_mask': 0, 'oxm_length': 4, 'oxm_value': [0, 0, 0, 1], 'oxm_field': 0, 'oxm_hasmask': False}]}, 'pad': None, 'data': b'33\x00\x00\x00\x16\x0ee\xfbT&\xc3\x86\xdd`\x00\x00\x00\x00$\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xff\x02\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x16:\x00\x05\x02\x00\x00\x01\x00\x8f\x00Hs\x00\x00\x00\x01\x04\x00\x00\x00\xff\x02\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\xffT&\xc3'}
2021-10-20 01:45:11,102 | 9142 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_PACKET_OUT PacketOut(xid=UBInt32(3481937389)) {'header': {'version': 4, 'message_type': 13, 'length': 130, 'xid': 3481937389}, 'buffer_id': 4294967295, 'in_port': 1, 'actions_len': 16, 'pad': None, 'actions': [{'action_type': {}, 'length': 16, 'port': 4294967291, 'max_length': 65509, 'pad': None}], 'data': b'33\x00\x00\x00\x16\x0ee\xfbT&\xc3\x86\xdd`\x00\x00\x00\x00$\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xff\x02\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x16:\x00\x05\x02\x00\x00\x01\x00\x8f\x00Hs\x00\x00\x00\x01\x04\x00\x00\x00\xff\x02\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\xffT&\xc3'}
