2021-11-08 02:01:47,028 | 3136 | ofcapture.proxy.proxy, start_server, 231 | INFO | Server on ('127.0.0.1', 63333)
2021-11-08 02:01:47,031 | 3136 | ofcapture.proxy.proxy, start_server, 234 | INFO | Server serve forever ('127.0.0.1', 63333)
2021-11-08 02:01:47,215 | 3136 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 48860) is connected
2021-11-08 02:01:47,217 | 3136 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-11-08 02:01:47,337 | 3136 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 48864) is connected
2021-11-08 02:01:47,339 | 3136 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-11-08 02:01:47,387 | 3136 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 48868) is connected
2021-11-08 02:01:47,389 | 3136 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-11-08 02:01:48,339 | 3136 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 48872) is connected
2021-11-08 02:01:48,345 | 3136 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-11-08 02:01:48,347 | 3136 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 48874) is connected
2021-11-08 02:01:48,351 | 3136 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-11-08 02:01:49,025 | 3086 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-11-08 02:01:49,027 | 3086 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-11-08 02:01:49,344 | 3136 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 48880) is connected
2021-11-08 02:01:49,346 | 3136 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 48882) is connected
2021-11-08 02:01:49,347 | 3136 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-11-08 02:01:49,349 | 3136 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-11-08 02:01:50,345 | 3136 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 48888) is connected
2021-11-08 02:01:50,356 | 3136 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 48890) is connected
2021-11-08 02:01:50,369 | 3136 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
