2021-11-08 02:13:40,798 | 4438 | ofcapture.proxy.proxy, start_server, 231 | INFO | Server on ('127.0.0.1', 63333)
2021-11-08 02:13:40,799 | 4438 | ofcapture.proxy.proxy, start_server, 234 | INFO | Server serve forever ('127.0.0.1', 63333)
2021-11-08 02:13:40,902 | 4438 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 49628) is connected
2021-11-08 02:13:40,904 | 4438 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-11-08 02:13:41,126 | 4438 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 49632) is connected
2021-11-08 02:13:41,128 | 4438 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-11-08 02:13:41,353 | 4438 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 49636) is connected
2021-11-08 02:13:41,354 | 4438 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 49638) is connected
2021-11-08 02:13:41,355 | 4438 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-11-08 02:13:41,356 | 4438 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-11-08 02:13:42,339 | 4438 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 49644) is connected
2021-11-08 02:13:42,341 | 4438 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 49646) is connected
2021-11-08 02:13:42,343 | 4438 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-11-08 02:13:42,345 | 4438 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-11-08 02:13:42,808 | 4428 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-11-08 02:13:42,810 | 4428 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-11-08 02:13:43,341 | 4438 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 49732) is connected
2021-11-08 02:13:43,344 | 4438 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 49734) is connected
2021-11-08 02:13:43,345 | 4438 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-11-08 02:13:43,346 | 4438 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-11-08 02:13:44,339 | 4438 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 49820) is connected
2021-11-08 02:13:44,345 | 4438 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 49822) is connected
2021-11-08 02:13:44,346 | 4438 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-11-08 02:13:44,346 | 4438 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-11-08 02:13:44,799 | 4428 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-11-08 02:13:44,800 | 4428 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-11-08 02:13:45,417 | 4438 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 49828) is connected
2021-11-08 02:13:45,425 | 4438 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 49830) is connected
2021-11-08 02:13:45,426 | 4438 | ofcapture.proxy.proxy, handle_controller, 364 | INFO | connected Controller ('127.0.0.1', 6633)
2021-11-08 02:13:45,433 | 4438 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_HELLO Hello(xid=UBInt32(200)) {'header': {'version': 4, 'message_type': 0, 'length': 8, 'xid': 200}, 'elements': []}
2021-11-08 02:13:45,434 | 4438 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_HELLO Hello(xid=UBInt32(201)) {'header': {'version': 4, 'message_type': 0, 'length': 8, 'xid': 201}, 'elements': []}
