2021-10-20 02:26:26,389 | 3084 | ofcapture.proxy.proxy, start_server, 231 | INFO | Server on ('127.0.0.1', 63333)
2021-10-20 02:26:26,391 | 3084 | ofcapture.proxy.proxy, start_server, 234 | INFO | Server serve forever ('127.0.0.1', 63333)
2021-10-20 02:26:26,556 | 3084 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 58840) is connected
2021-10-20 02:26:26,559 | 3084 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-20 02:26:26,744 | 3084 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 58844) is connected
2021-10-20 02:26:26,746 | 3084 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-20 02:26:27,110 | 3084 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 58848) is connected
2021-10-20 02:26:27,112 | 3084 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 58850) is connected
2021-10-20 02:26:27,114 | 3084 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-20 02:26:27,116 | 3084 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-20 02:26:28,113 | 3084 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 58856) is connected
2021-10-20 02:26:28,114 | 3084 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 58858) is connected
2021-10-20 02:26:28,121 | 3084 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-20 02:26:28,133 | 3084 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-20 02:26:28,595 | 3074 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-20 02:26:28,641 | 3074 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-20 02:26:29,122 | 3084 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 58864) is connected
2021-10-20 02:26:29,130 | 3084 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 58866) is connected
2021-10-20 02:26:29,153 | 3084 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-20 02:26:29,220 | 3084 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-20 02:26:30,111 | 3084 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 58872) is connected
2021-10-20 02:26:30,113 | 3084 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 58874) is connected
2021-10-20 02:26:30,115 | 3084 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-20 02:26:30,115 | 3084 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-20 02:26:30,439 | 3074 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-20 02:26:30,445 | 3074 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-20 02:26:31,148 | 3084 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 58880) is connected
2021-10-20 02:26:31,158 | 3084 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 58882) is connected
2021-10-20 02:26:31,159 | 3084 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-20 02:26:31,174 | 3084 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-20 02:26:32,124 | 3084 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 58888) is connected
2021-10-20 02:26:32,125 | 3084 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 58890) is connected
2021-10-20 02:26:32,128 | 3084 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-20 02:26:32,130 | 3084 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-20 02:26:32,407 | 3074 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-20 02:26:32,427 | 3074 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-20 02:26:33,115 | 3084 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 58958) is connected
2021-10-20 02:26:33,121 | 3084 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 58960) is connected
