2021-10-20 03:37:50,791 | 3024 | tracing_net.net, __init__, 99 | INFO | set up on-demand mininet
2021-10-20 03:37:50,792 | 3024 | tracing_of_pipeline, start, 108 | INFO | OpenFlow Tracer Start
2021-10-20 03:37:50,804 | 3024 | tracing_net.net, start, 312 | INFO | mininet start
2021-10-20 03:37:50,806 | 3024 | tracing_of_pipeline.analyzer, start_analyzing, 103 | INFO | start analyzing
2021-10-20 03:37:50,811 | 3024 | tracing_net.net, add_switch, 116 | DEBUG | added the switch (s0)
2021-10-20 03:37:50,964 | 3024 | tracing_net.net, add_host, 164 | DEBUG | added the host (h0)
2021-10-20 03:37:51,054 | 3024 | tracing_net.net, add_link, 203 | DEBUG | added the link (l2) between s0 and h0
2021-10-20 03:37:51,143 | 3024 | tracing_net.net, add_switch, 116 | DEBUG | added the switch (s1)
2021-10-20 03:37:51,299 | 3024 | tracing_net.net, add_link, 203 | DEBUG | added the link (l1) between s0 and s1
2021-10-20 03:37:51,455 | 3024 | tracing_net.net, add_host, 164 | DEBUG | added the host (h1)
2021-10-20 03:37:51,506 | 3024 | tracing_net.net, add_link, 203 | DEBUG | added the link (l3) between s1 and h1
2021-10-20 03:37:51,607 | 3024 | tracing_net.net, start_tracing, 525 | INFO | tracing start
2021-10-20 03:37:51,609 | 3024 | tracing_net.net, start_tracing, 527 | DEBUG | ipv6 is disable
2021-10-20 03:37:51,787 | 3024 | tracing_net.packet_capture_manager, start_capture, 88 | DEBUG | capture process (s0-eth1:3159) started
2021-10-20 03:37:51,791 | 3159 | tracing_net.util.packet_capture, start_capture, 58 | INFO | packet capture start on s0-eth1
2021-10-20 03:37:51,805 | 3024 | tracing_net.packet_capture_manager, start_capture, 88 | DEBUG | capture process (s0-eth2:3161) started
2021-10-20 03:37:51,815 | 3024 | tracing_net.packet_capture_manager, start_capture, 88 | DEBUG | capture process (s1-eth2:3163) started
2021-10-20 03:37:51,817 | 3161 | tracing_net.util.packet_capture, start_capture, 58 | INFO | packet capture start on s0-eth2
2021-10-20 03:37:51,818 | 3024 | tracing_net.flowtable.flow_monitor, __init__, 46 | INFO | flow monitor start : s0
2021-10-20 03:37:51,835 | 3163 | tracing_net.util.packet_capture, start_capture, 58 | INFO | packet capture start on s1-eth2
2021-10-20 03:37:51,836 | 3024 | tracing_net.flowtable.flow_monitor, __init__, 46 | INFO | flow monitor start : s1
2021-10-20 03:37:52,811 | 3024 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-10-20 03:37:52,816 | 3024 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-10-20 03:37:52,820 | 3024 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-10-20 03:37:52,827 | 3024 | tracing_of_pipeline.analyzer, _poll_packet_inout_repo, 437 | ERROR | Failed to get datapath_id s0
2021-10-20 03:37:52,833 | 3024 | tracing_of_pipeline.analyzer, _poll_packet_inout_repo, 434 | DEBUG | tmp_p = None, s_dpip = 1
2021-10-20 03:37:52,835 | 3024 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634701070.807539, until=0) values = {'l2': [], 'l1': [], 'l3': []} {} {'s1': []}
2021-10-20 03:37:52,837 | 3024 | tracing_of_pipeline.analyzer, analyze, 166 | WARNING | No packet in edge l2
2021-10-20 03:37:52,839 | 3024 | tracing_of_pipeline.analyzer, analyze, 166 | WARNING | No packet in edge l1
2021-10-20 03:37:52,843 | 3024 | tracing_of_pipeline.analyzer, analyze, 166 | WARNING | No packet in edge l3
2021-10-20 03:37:52,853 | 3167 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s0
2021-10-20 03:37:52,877 | 3171 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-10-20 03:37:52,908 | 3167 | tracing_net.flowtable.flow_monitor, read_dump_flow, 74 | DEBUG | get result for dump flows 1634701072.875605 : ['OFPST_FLOW reply (OF1.3) (xid=0x2):']
