2021-10-25 07:01:09,267 | 5119 | ofcapture.proxy.proxy, start_server, 231 | INFO | Server on ('127.0.0.1', 63333)
2021-10-25 07:01:09,273 | 5119 | ofcapture.proxy.proxy, start_server, 234 | INFO | Server serve forever ('127.0.0.1', 63333)
2021-10-25 07:01:09,384 | 5119 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 40314) is connected
2021-10-25 07:01:09,386 | 5119 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-25 07:01:09,605 | 5119 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 40318) is connected
2021-10-25 07:01:09,607 | 5119 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-25 07:01:10,373 | 5119 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 40322) is connected
2021-10-25 07:01:10,374 | 5119 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 40324) is connected
2021-10-25 07:01:10,375 | 5119 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-25 07:01:10,376 | 5119 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-25 07:01:11,274 | 5109 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 07:01:11,275 | 5109 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 07:01:11,374 | 5119 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 40330) is connected
2021-10-25 07:01:11,375 | 5119 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 40332) is connected
2021-10-25 07:01:11,379 | 5119 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-25 07:01:11,380 | 5119 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-25 07:01:12,393 | 5119 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 40338) is connected
2021-10-25 07:01:12,394 | 5119 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 40340) is connected
2021-10-25 07:01:12,397 | 5119 | ofcapture.proxy.proxy, handle_controller, 364 | INFO | connected Controller ('127.0.0.1', 6633)
2021-10-25 07:01:12,400 | 5119 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_HELLO Hello(xid=UBInt32(299)) {'header': {'version': 4, 'message_type': 0, 'length': 8, 'xid': 299}, 'elements': []}
2021-10-25 07:01:12,402 | 5119 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_HELLO Hello(xid=UBInt32(300)) {'header': {'version': 4, 'message_type': 0, 'length': 8, 'xid': 300}, 'elements': []}
2021-10-25 07:01:12,404 | 5119 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_HELLO Hello(xid=UBInt32(3298273346)) {'header': {'version': 4, 'message_type': 0, 'length': 8, 'xid': 3298273346}, 'elements': []}
2021-10-25 07:01:12,405 | 5119 | ofcapture.proxy.proxy, handle_controller, 364 | INFO | connected Controller ('127.0.0.1', 6633)
2021-10-25 07:01:12,408 | 5119 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_HELLO Hello(xid=UBInt32(3921568965)) {'header': {'version': 4, 'message_type': 0, 'length': 8, 'xid': 3921568965}, 'elements': [{'element_type': 1029, 'length': 8, 'content': b'\xe9\xbed\xc6'}]}
2021-10-25 07:01:12,409 | 5119 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_FEATURES_REQUEST FeaturesRequest(xid=UBInt32(3298273347)) {'header': {'version': 4, 'message_type': 5, 'length': 8, 'xid': 3298273347}}
2021-10-25 07:01:12,412 | 5119 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_FEATURES_REPLY FeaturesReply(xid=UBInt32(3921568966)) {'header': {'version': 4, 'message_type': 6, 'length': 32, 'xid': 3921568966}, 'datapath_id': '00:00:00:00:00:00:00:02', 'n_buffers': 0, 'n_tables': 254, 'auxiliary_id': 0, 'pad': None, 'capabilities': '79', 'reserved': 0}
2021-10-25 07:01:12,414 | 5119 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_FEATURES_REPLY FeaturesReply(xid=UBInt32(3298273347)) {'header': {'version': 4, 'message_type': 6, 'length': 32, 'xid': 3298273347}, 'datapath_id': '00:00:00:00:00:00:00:01', 'n_buffers': 0, 'n_tables': 254, 'auxiliary_id': 0, 'pad': None, 'capabilities': '79', 'reserved': 0}
2021-10-25 07:01:12,417 | 5119 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_MULTIPART_REQUEST MultipartRequest(xid=UBInt32(3921568967)) {'header': {'version': 4, 'message_type': 18, 'length': 16, 'xid': 3921568967}, 'multipart_type': 13, 'flags': {}, 'pad': None, 'body': b'\x04\x0e\x00P\xe9\xbed\xc8\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xff\xff\xff\xff\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x04\x00\x00\x00\x00\x00\x04\x00\x18\x00\x00\x00\x00\x00\x00\x00\x10\xff\xff\xff\xfd\xff\xff\x00\x00\x00\x00\x00\x00'}
2021-10-25 07:01:12,419 | 5119 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_MULTIPART_REQUEST MultipartRequest(xid=UBInt32(3298273348)) {'header': {'version': 4, 'message_type': 18, 'length': 16, 'xid': 3298273348}, 'multipart_type': 13, 'flags': {}, 'pad': None, 'body': b'\x04\x0e\x00P\xc4\x97\xa8E\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xff\xff\xff\xff\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x04\x00\x00\x00\x00\x00\x04\x00\x18\x00\x00\x00\x00\x00\x00\x00\x10\xff\xff\xff\xfd\xff\xff\x00\x00\x00\x00\x00\x00'}
2021-10-25 07:01:12,422 | 5119 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_MULTIPART_REPLY MultipartReply(xid=UBInt32(3921568967)) {'header': {'version': 4, 'message_type': 19, 'length': 208, 'xid': 3921568967}, 'multipart_type': 13, 'flags': 0, 'pad': None, 'body': [{'port_no': 4294967294, 'pad': None, 'hw_addr': '22:43:23:a3:5f:48', 'pad2': None, 'name': 's2', 'config': '1', 'state': '1', 'curr': '0', 'advertised': '0', 'supported': '0', 'peer': '0', 'curr_speed': 0, 'max_speed': 0}, {'port_no': 1, 'pad': None, 'hw_addr': '8a:b0:de:b2:41:41', 'pad2': None, 'name': 's2-eth1', 'config': '0', 'state': '4', 'curr': '2112', 'advertised': '0', 'supported': '0', 'peer': '0', 'curr_speed': 10000000, 'max_speed': 0}, {'port_no': 2, 'pad': None, 'hw_addr': '0a:3e:c2:68:02:5c', 'pad2': None, 'name': 's2-eth2', 'config': '0', 'state': '4', 'curr': '2112', 'advertised': '0', 'supported': '0', 'peer': '0', 'curr_speed': 10000000, 'max_speed': 0}]}
2021-10-25 07:01:12,431 | 5119 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_MULTIPART_REPLY MultipartReply(xid=UBInt32(3298273348)) {'header': {'version': 4, 'message_type': 19, 'length': 208, 'xid': 3298273348}, 'multipart_type': 13, 'flags': 0, 'pad': None, 'body': [{'port_no': 4294967294, 'pad': None, 'hw_addr': '2a:42:62:81:6f:4d', 'pad2': None, 'name': 's1', 'config': '1', 'state': '1', 'curr': '0', 'advertised': '0', 'supported': '0', 'peer': '0', 'curr_speed': 0, 'max_speed': 0}, {'port_no': 1, 'pad': None, 'hw_addr': '32:fc:42:a3:76:6c', 'pad2': None, 'name': 's1-eth1', 'config': '0', 'state': '4', 'curr': '2112', 'advertised': '0', 'supported': '0', 'peer': '0', 'curr_speed': 10000000, 'max_speed': 0}, {'port_no': 2, 'pad': None, 'hw_addr': 'a6:9d:a9:01:6f:11', 'pad2': None, 'name': 's1-eth2', 'config': '0', 'state': '4', 'curr': '2112', 'advertised': '0', 'supported': '0', 'peer': '0', 'curr_speed': 10000000, 'max_speed': 0}]}
2021-10-25 07:01:13,291 | 5109 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 07:01:13,300 | 5109 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-25 07:01:13,762 | 5119 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_PACKET_IN PacketIn(xid=UBInt32(0)) {'header': {'version': 4, 'message_type': 10, 'length': 84, 'xid': 0}, 'buffer_id': 4294967295, 'total_len': 42, 'reason': {}, 'table_id': 0, 'cookie': 0, 'match': {'match_type': {}, 'length': 12, 'oxm_match_fields': [{'oxm_class': {}, 'oxm_field_and_mask': 0, 'oxm_length': 4, 'oxm_value': [0, 0, 0, 1], 'oxm_field': 0, 'oxm_hasmask': False}]}, 'pad': None, 'data': b'\xff\xff\xff\xff\xff\xff\x1a\x1eq\x86\x96]\x08\x06\x00\x01\x08\x00\x06\x04\x00\x01\x1a\x1eq\x86\x96]\n\x00\x00\x01\x00\x00\x00\x00\x00\x00\n\x00\x00\x02'}
2021-10-25 07:01:13,778 | 5119 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_PACKET_OUT PacketOut(xid=UBInt32(3298273350)) {'header': {'version': 4, 'message_type': 13, 'length': 82, 'xid': 3298273350}, 'buffer_id': 4294967295, 'in_port': 1, 'actions_len': 16, 'pad': None, 'actions': [{'action_type': {}, 'length': 16, 'port': 4294967291, 'max_length': 65509, 'pad': None}], 'data': b'\xff\xff\xff\xff\xff\xff\x1a\x1eq\x86\x96]\x08\x06\x00\x01\x08\x00\x06\x04\x00\x01\x1a\x1eq\x86\x96]\n\x00\x00\x01\x00\x00\x00\x00\x00\x00\n\x00\x00\x02'}
