2021-11-17 08:42:20,249 | 6699 | tracing_net.net, __init__, 117 | INFO | set up on-demand mininet
2021-11-17 08:42:20,251 | 6699 | tracing_of_pipeline, start, 123 | INFO | OpenFlow Tracer Start
2021-11-17 08:42:20,257 | 6699 | tracing_net.net, start, 330 | INFO | mininet start
2021-11-17 08:42:20,259 | 6699 | tracing_of_pipeline.analyzer, start_analyzing, 141 | INFO | start analyzing interval (start_time = 1637138540.259025, interval = 2)
2021-11-17 08:42:20,262 | 6699 | tracing_net.net, add_switch, 134 | DEBUG | added the switch (s1)
2021-11-17 08:42:20,373 | 6699 | tracing_net.net, add_host, 182 | DEBUG | added the host (h1)
2021-11-17 08:42:20,440 | 6699 | tracing_net.net, add_link, 221 | DEBUG | added the link (l2) between s1 and h1
2021-11-17 08:42:20,497 | 6699 | tracing_net.net, add_switch, 134 | DEBUG | added the switch (s2)
2021-11-17 08:42:20,544 | 6699 | tracing_net.net, add_link, 221 | DEBUG | added the link (l1) between s1 and s2
2021-11-17 08:42:20,634 | 6699 | tracing_net.net, add_host, 182 | DEBUG | added the host (h2)
2021-11-17 08:42:20,666 | 6699 | tracing_net.net, add_link, 221 | DEBUG | added the link (l3) between s2 and h2
2021-11-17 08:42:20,743 | 6699 | tracing_net.net, add_host, 182 | DEBUG | added the host (h3)
2021-11-17 08:42:20,766 | 6699 | tracing_net.net, add_link, 221 | DEBUG | added the link (l4) between s1 and h3
2021-11-17 08:42:20,872 | 6699 | tracing_net.net, start_tracing, 541 | INFO | tracing start
2021-11-17 08:42:20,878 | 6699 | tracing_net.net, start_tracing, 543 | DEBUG | ipv6 is disable
2021-11-17 08:42:20,986 | 6699 | tracing_net.packet_capture_manager, start_capture, 88 | DEBUG | capture process (intf=s1-eth1 edge=l2 processid=6862) started
2021-11-17 08:42:20,994 | 6862 | tracing_net.util.packet_capture, start_capture, 66 | INFO | packet capture start on (interface=s1-eth1, edge=l2)
2021-11-17 08:42:21,001 | 6699 | tracing_net.packet_capture_manager, start_capture, 88 | DEBUG | capture process (intf=s1-eth2 edge=l1 processid=6864) started
2021-11-17 08:42:21,013 | 6699 | tracing_net.packet_capture_manager, start_capture, 88 | DEBUG | capture process (intf=s2-eth2 edge=l3 processid=6866) started
2021-11-17 08:42:21,047 | 6864 | tracing_net.util.packet_capture, start_capture, 66 | INFO | packet capture start on (interface=s1-eth2, edge=l1)
2021-11-17 08:42:21,059 | 6866 | tracing_net.util.packet_capture, start_capture, 66 | INFO | packet capture start on (interface=s2-eth2, edge=l3)
2021-11-17 08:42:21,103 | 6699 | tracing_net.packet_capture_manager, start_capture, 88 | DEBUG | capture process (intf=s1-eth3 edge=l4 processid=6872) started
2021-11-17 08:42:21,129 | 6699 | tracing_net.flowtable.flow_monitor, __init__, 46 | INFO | flow monitor start : s1
2021-11-17 08:42:21,202 | 6872 | tracing_net.util.packet_capture, start_capture, 66 | INFO | packet capture start on (interface=s1-eth3, edge=l4)
2021-11-17 08:42:21,237 | 6699 | tracing_net.flowtable.flow_monitor, __init__, 46 | INFO | flow monitor start : s2
2021-11-17 08:42:22,281 | 6699 | tracing_net.packet_repository, pop, 76 | ERROR | Failed to pop from packet repository (repo={}). This may appear at the start of the system, but if it appears while the system is running, there may be a bug.
2021-11-17 08:42:22,282 | 6699 | tracing_net.packet_repository, pop, 76 | ERROR | Failed to pop from packet repository (repo={}). This may appear at the start of the system, but if it appears while the system is running, there may be a bug.
2021-11-17 08:42:22,283 | 6699 | tracing_net.packet_repository, pop, 76 | ERROR | Failed to pop from packet repository (repo={}). This may appear at the start of the system, but if it appears while the system is running, there may be a bug.
2021-11-17 08:42:22,296 | 6699 | tracing_net.packet_repository, pop, 76 | ERROR | Failed to pop from packet repository (repo={}). This may appear at the start of the system, but if it appears while the system is running, there may be a bug.
2021-11-17 08:42:22,311 | 6699 | tracing_of_pipeline.analyzer, _poll_packet_inout_repo, 599 | DEBUG | Analyzing 1.2... tmp_p = [], s_dpip = 1
2021-11-17 08:42:22,318 | 6699 | tracing_of_pipeline.analyzer, _poll_packet_inout_repo, 599 | DEBUG | Analyzing 1.2... tmp_p = [], s_dpip = 2
2021-11-17 08:42:22,318 | 6699 | tracing_of_pipeline.analyzer, _polling, 552 | DEBUG | polled repository (start_time=1637138540.259025, until=0) values = {'l2': [], 'l1': [], 'l3': [], 'l4': []} {'s1': [], 's2': []}
2021-11-17 08:42:22,319 | 6699 | tracing_of_pipeline.analyzer, analyze, 196 | DEBUG | Analyzing 1... polled repository (count=0)
2021-11-17 08:42:22,319 | 6699 | tracing_of_pipeline.analyzer, analyze, 250 | DEBUG | Analyzing 1... No packet in edge l2
2021-11-17 08:42:22,320 | 6699 | tracing_of_pipeline.analyzer, analyze, 250 | DEBUG | Analyzing 1... No packet in edge l1
2021-11-17 08:42:22,333 | 6699 | tracing_of_pipeline.analyzer, analyze, 250 | DEBUG | Analyzing 1... No packet in edge l3
2021-11-17 08:42:22,338 | 6699 | tracing_of_pipeline.analyzer, analyze, 250 | DEBUG | Analyzing 1... No packet in edge l4
2021-11-17 08:42:24,260 | 6699 | tracing_net.packet_repository, pop, 76 | ERROR | Failed to pop from packet repository (repo={}). This may appear at the start of the system, but if it appears while the system is running, there may be a bug.
2021-11-17 08:42:24,261 | 6699 | tracing_net.packet_repository, pop, 76 | ERROR | Failed to pop from packet repository (repo={}). This may appear at the start of the system, but if it appears while the system is running, there may be a bug.
2021-11-17 08:42:24,261 | 6699 | tracing_net.packet_repository, pop, 76 | ERROR | Failed to pop from packet repository (repo={}). This may appear at the start of the system, but if it appears while the system is running, there may be a bug.
2021-11-17 08:42:24,262 | 6699 | tracing_net.packet_repository, pop, 76 | ERROR | Failed to pop from packet repository (repo={}). This may appear at the start of the system, but if it appears while the system is running, there may be a bug.
2021-11-17 08:42:24,263 | 6699 | tracing_of_pipeline.analyzer, _poll_packet_inout_repo, 599 | DEBUG | Analyzing 1.2... tmp_p = [], s_dpip = 1
2021-11-17 08:42:24,263 | 6699 | tracing_of_pipeline.analyzer, _poll_packet_inout_repo, 599 | DEBUG | Analyzing 1.2... tmp_p = [], s_dpip = 2
2021-11-17 08:42:24,264 | 6699 | tracing_of_pipeline.analyzer, _polling, 552 | DEBUG | polled repository (start_time=1637138540.259025, until=1) values = {'l2': [], 'l1': [], 'l3': [], 'l4': []} {'s1': [], 's2': []}
2021-11-17 08:42:24,264 | 6699 | tracing_of_pipeline.analyzer, analyze, 196 | DEBUG | Analyzing 1... polled repository (count=1)
2021-11-17 08:42:24,264 | 6699 | tracing_of_pipeline.analyzer, analyze, 250 | DEBUG | Analyzing 1... No packet in edge l2
2021-11-17 08:42:24,265 | 6699 | tracing_of_pipeline.analyzer, analyze, 250 | DEBUG | Analyzing 1... No packet in edge l1
2021-11-17 08:42:24,265 | 6699 | tracing_of_pipeline.analyzer, analyze, 250 | DEBUG | Analyzing 1... No packet in edge l3
2021-11-17 08:42:24,266 | 6699 | tracing_of_pipeline.analyzer, analyze, 250 | DEBUG | Analyzing 1... No packet in edge l4
2021-11-17 08:42:26,264 | 6699 | tracing_net.packet_repository, pop, 76 | ERROR | Failed to pop from packet repository (repo={}). This may appear at the start of the system, but if it appears while the system is running, there may be a bug.
2021-11-17 08:42:26,264 | 6699 | tracing_net.packet_repository, pop, 76 | ERROR | Failed to pop from packet repository (repo={}). This may appear at the start of the system, but if it appears while the system is running, there may be a bug.
2021-11-17 08:42:26,265 | 6699 | tracing_net.packet_repository, pop, 76 | ERROR | Failed to pop from packet repository (repo={}). This may appear at the start of the system, but if it appears while the system is running, there may be a bug.
2021-11-17 08:42:26,265 | 6699 | tracing_net.packet_repository, pop, 76 | ERROR | Failed to pop from packet repository (repo={}). This may appear at the start of the system, but if it appears while the system is running, there may be a bug.
2021-11-17 08:42:26,267 | 6699 | tracing_of_pipeline.analyzer, _poll_packet_inout_repo, 599 | DEBUG | Analyzing 1.2... tmp_p = [], s_dpip = 1
2021-11-17 08:42:26,270 | 6699 | tracing_of_pipeline.analyzer, _poll_packet_inout_repo, 599 | DEBUG | Analyzing 1.2... tmp_p = [], s_dpip = 2
2021-11-17 08:42:26,271 | 6699 | tracing_of_pipeline.analyzer, _polling, 552 | DEBUG | polled repository (start_time=1637138540.259025, until=2) values = {'l2': [], 'l1': [], 'l3': [], 'l4': []} {'s1': [], 's2': []}
2021-11-17 08:42:26,272 | 6699 | tracing_of_pipeline.analyzer, analyze, 196 | DEBUG | Analyzing 1... polled repository (count=2)
2021-11-17 08:42:26,272 | 6699 | tracing_of_pipeline.analyzer, analyze, 250 | DEBUG | Analyzing 1... No packet in edge l2
2021-11-17 08:42:26,273 | 6699 | tracing_of_pipeline.analyzer, analyze, 250 | DEBUG | Analyzing 1... No packet in edge l1
2021-11-17 08:42:26,273 | 6699 | tracing_of_pipeline.analyzer, analyze, 250 | DEBUG | Analyzing 1... No packet in edge l3
2021-11-17 08:42:26,274 | 6699 | tracing_of_pipeline.analyzer, analyze, 250 | DEBUG | Analyzing 1... No packet in edge l4
2021-11-17 08:42:28,267 | 6699 | tracing_net.packet_repository, pop, 76 | ERROR | Failed to pop from packet repository (repo={}). This may appear at the start of the system, but if it appears while the system is running, there may be a bug.
2021-11-17 08:42:28,267 | 6699 | tracing_net.packet_repository, pop, 76 | ERROR | Failed to pop from packet repository (repo={}). This may appear at the start of the system, but if it appears while the system is running, there may be a bug.
2021-11-17 08:42:28,268 | 6699 | tracing_net.packet_repository, pop, 76 | ERROR | Failed to pop from packet repository (repo={}). This may appear at the start of the system, but if it appears while the system is running, there may be a bug.
2021-11-17 08:42:28,269 | 6699 | tracing_net.packet_repository, pop, 76 | ERROR | Failed to pop from packet repository (repo={}). This may appear at the start of the system, but if it appears while the system is running, there may be a bug.
2021-11-17 08:42:28,271 | 6699 | tracing_of_pipeline.analyzer, _poll_packet_inout_repo, 599 | DEBUG | Analyzing 1.2... tmp_p = [], s_dpip = 1
2021-11-17 08:42:28,273 | 6699 | tracing_of_pipeline.analyzer, _poll_packet_inout_repo, 599 | DEBUG | Analyzing 1.2... tmp_p = [], s_dpip = 2
2021-11-17 08:42:28,273 | 6699 | tracing_of_pipeline.analyzer, _polling, 552 | DEBUG | polled repository (start_time=1637138540.259025, until=3) values = {'l2': [], 'l1': [], 'l3': [], 'l4': []} {'s1': [], 's2': []}
2021-11-17 08:42:28,274 | 6699 | tracing_of_pipeline.analyzer, analyze, 196 | DEBUG | Analyzing 1... polled repository (count=3)
2021-11-17 08:42:28,274 | 6699 | tracing_of_pipeline.analyzer, analyze, 250 | DEBUG | Analyzing 1... No packet in edge l2
2021-11-17 08:42:28,275 | 6699 | tracing_of_pipeline.analyzer, analyze, 250 | DEBUG | Analyzing 1... No packet in edge l1
2021-11-17 08:42:28,276 | 6699 | tracing_of_pipeline.analyzer, analyze, 250 | DEBUG | Analyzing 1... No packet in edge l3
2021-11-17 08:42:28,276 | 6699 | tracing_of_pipeline.analyzer, analyze, 250 | DEBUG | Analyzing 1... No packet in edge l4
2021-11-17 08:42:30,261 | 6699 | tracing_net.packet_repository, pop, 76 | ERROR | Failed to pop from packet repository (repo={}). This may appear at the start of the system, but if it appears while the system is running, there may be a bug.
2021-11-17 08:42:30,262 | 6699 | tracing_net.packet_repository, pop, 76 | ERROR | Failed to pop from packet repository (repo={}). This may appear at the start of the system, but if it appears while the system is running, there may be a bug.
2021-11-17 08:42:30,262 | 6699 | tracing_net.packet_repository, pop, 76 | ERROR | Failed to pop from packet repository (repo={}). This may appear at the start of the system, but if it appears while the system is running, there may be a bug.
2021-11-17 08:42:30,262 | 6699 | tracing_net.packet_repository, pop, 76 | ERROR | Failed to pop from packet repository (repo={}). This may appear at the start of the system, but if it appears while the system is running, there may be a bug.
2021-11-17 08:42:30,263 | 6699 | tracing_of_pipeline.analyzer, _poll_packet_inout_repo, 599 | DEBUG | Analyzing 1.2... tmp_p = [], s_dpip = 1
2021-11-17 08:42:30,263 | 6699 | tracing_of_pipeline.analyzer, _poll_packet_inout_repo, 599 | DEBUG | Analyzing 1.2... tmp_p = [], s_dpip = 2
2021-11-17 08:42:30,263 | 6699 | tracing_of_pipeline.analyzer, _polling, 552 | DEBUG | polled repository (start_time=1637138540.259025, until=4) values = {'l2': [], 'l1': [], 'l3': [], 'l4': []} {'s1': [], 's2': []}
2021-11-17 08:42:30,264 | 6699 | tracing_of_pipeline.analyzer, analyze, 196 | DEBUG | Analyzing 1... polled repository (count=4)
2021-11-17 08:42:30,264 | 6699 | tracing_of_pipeline.analyzer, analyze, 250 | DEBUG | Analyzing 1... No packet in edge l2
2021-11-17 08:42:30,264 | 6699 | tracing_of_pipeline.analyzer, analyze, 250 | DEBUG | Analyzing 1... No packet in edge l1
2021-11-17 08:42:30,264 | 6699 | tracing_of_pipeline.analyzer, analyze, 250 | DEBUG | Analyzing 1... No packet in edge l3
2021-11-17 08:42:30,265 | 6699 | tracing_of_pipeline.analyzer, analyze, 250 | DEBUG | Analyzing 1... No packet in edge l4
2021-11-17 08:42:32,272 | 6699 | tracing_of_pipeline.analyzer, _poll_packet_inout_repo, 599 | DEBUG | Analyzing 1.2... tmp_p = [], s_dpip = 1
2021-11-17 08:42:32,273 | 6699 | tracing_of_pipeline.analyzer, _poll_packet_inout_repo, 599 | DEBUG | Analyzing 1.2... tmp_p = [], s_dpip = 2
2021-11-17 08:42:32,274 | 6699 | tracing_of_pipeline.analyzer, _polling, 552 | DEBUG | polled repository (start_time=1637138540.259025, until=5) values = {'l2': [], 'l1': [], 'l3': [], 'l4': []} {'s1': [], 's2': []}
2021-11-17 08:42:32,275 | 6699 | tracing_of_pipeline.analyzer, analyze, 196 | DEBUG | Analyzing 1... polled repository (count=5)
2021-11-17 08:42:32,276 | 6699 | tracing_of_pipeline.analyzer, analyze, 250 | DEBUG | Analyzing 1... No packet in edge l2
2021-11-17 08:42:32,276 | 6699 | tracing_of_pipeline.analyzer, analyze, 250 | DEBUG | Analyzing 1... No packet in edge l1
2021-11-17 08:42:32,277 | 6699 | tracing_of_pipeline.analyzer, analyze, 250 | DEBUG | Analyzing 1... No packet in edge l3
2021-11-17 08:42:32,277 | 6699 | tracing_of_pipeline.analyzer, analyze, 250 | DEBUG | Analyzing 1... No packet in edge l4
