2021-10-20 02:13:24,451 | 11874 | tracing_net.net, __init__, 99 | INFO | set up on-demand mininet
2021-10-20 02:13:24,454 | 11874 | tracing_of_pipeline, start, 105 | INFO | OpenFlow Tracer Start
2021-10-20 02:13:24,477 | 11874 | tracing_net.net, start, 312 | INFO | mininet start
2021-10-20 02:13:24,479 | 11874 | tracing_of_pipeline.analyzer, start_analyzing, 103 | INFO | start analyzing
2021-10-20 02:13:26,485 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=0) values = {} {} {}
2021-10-20 02:13:28,529 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=1) values = {} {} {}
2021-10-20 02:13:30,060 | 11886 | tracing_net.api.ws_server, connect, 283 | INFO | connect sid=r8QlEDUvBK7jGr8CAAAB
2021-10-20 02:13:30,480 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=2) values = {} {} {}
2021-10-20 02:13:32,482 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=3) values = {} {} {}
2021-10-20 02:13:34,481 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=4) values = {} {} {}
2021-10-20 02:13:36,480 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=5) values = {} {} {}
2021-10-20 02:13:38,481 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=6) values = {} {} {}
2021-10-20 02:13:40,484 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=7) values = {} {} {}
2021-10-20 02:13:42,480 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=8) values = {} {} {}
2021-10-20 02:13:44,480 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=9) values = {} {} {}
2021-10-20 02:13:46,481 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=10) values = {} {} {}
2021-10-20 02:13:48,480 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=11) values = {} {} {}
2021-10-20 02:13:50,481 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=12) values = {} {} {}
2021-10-20 02:13:52,481 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=13) values = {} {} {}
2021-10-20 02:13:54,481 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=14) values = {} {} {}
2021-10-20 02:13:56,480 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=15) values = {} {} {}
2021-10-20 02:13:58,480 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=16) values = {} {} {}
2021-10-20 02:14:00,484 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=17) values = {} {} {}
2021-10-20 02:14:01,814 | 11874 | tracing_net.cli, error, 119 | DEBUG | CLI error *** Unknown command: hnnet

2021-10-20 02:14:01,825 | 11874 | tracing_net.api.ws_server, emit2client, 116 | DEBUG | MessageHub receives messages from net and emits them to clients. (event=WSEvent.EXEC_MININET_COMMAND_RESULT, param=b'\x08\x01\x12\x1f*** Unknown command: h\x7fn\x7f\x7f\x7fnet\n')
2021-10-20 02:14:01,843 | 11874 | tracing_net.cli, send_end_command_signal, 127 | DEBUG | CLI send end command signal
2021-10-20 02:14:01,852 | 11874 | tracing_net.api.ws_server, emit2client, 116 | DEBUG | MessageHub receives messages from net and emits them to clients. (event=WSEvent.EXEC_MININET_COMMAND_RESULT, param=b'\x08d\x12\x00')
2021-10-20 02:14:02,480 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=18) values = {} {} {}
2021-10-20 02:14:04,481 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=19) values = {} {} {}
2021-10-20 02:14:06,480 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=20) values = {} {} {}
2021-10-20 02:14:08,481 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=21) values = {} {} {}
2021-10-20 02:14:10,481 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=22) values = {} {} {}
2021-10-20 02:14:12,481 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=23) values = {} {} {}
2021-10-20 02:14:14,481 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=24) values = {} {} {}
2021-10-20 02:14:16,480 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=25) values = {} {} {}
2021-10-20 02:14:17,074 | 11886 | tracing_net.api.ws_server, disconnect, 288 | INFO | disconnect sid=r8QlEDUvBK7jGr8CAAAB
2021-10-20 02:14:18,513 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=26) values = {} {} {}
2021-10-20 02:14:20,513 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=27) values = {} {} {}
2021-10-20 02:14:22,055 | 11886 | tracing_net.api.ws_server, connect, 283 | INFO | connect sid=fMyCytA0QKXey3ywAAAD
2021-10-20 02:14:22,480 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=28) values = {} {} {}
2021-10-20 02:14:24,481 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=29) values = {} {} {}
2021-10-20 02:14:26,480 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=30) values = {} {} {}
2021-10-20 02:14:28,481 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=31) values = {} {} {}
2021-10-20 02:14:30,480 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=32) values = {} {} {}
2021-10-20 02:14:32,489 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=33) values = {} {} {}
2021-10-20 02:14:34,484 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=34) values = {} {} {}
2021-10-20 02:14:36,481 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=35) values = {} {} {}
2021-10-20 02:14:38,481 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=36) values = {} {} {}
2021-10-20 02:14:40,482 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=37) values = {} {} {}
2021-10-20 02:14:42,480 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=38) values = {} {} {}
2021-10-20 02:14:44,481 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=39) values = {} {} {}
2021-10-20 02:14:46,481 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=40) values = {} {} {}
2021-10-20 02:14:48,481 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=41) values = {} {} {}
2021-10-20 02:14:50,481 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=42) values = {} {} {}
2021-10-20 02:14:51,620 | 11874 | tracing_net.cli, error, 119 | DEBUG | CLI error *** Unknown command: h0 ping -c pingh42

2021-10-20 02:14:51,622 | 11874 | tracing_net.api.ws_server, emit2client, 116 | DEBUG | MessageHub receives messages from net and emits them to clients. (event=WSEvent.EXEC_MININET_COMMAND_RESULT, param=b'\x08\x01\x12-*** Unknown command: h0 ping -c ping\x7f\x7f\x7f\x7fh4\x7f2\n')
2021-10-20 02:14:51,623 | 11874 | tracing_net.cli, send_end_command_signal, 127 | DEBUG | CLI send end command signal
2021-10-20 02:14:51,624 | 11874 | tracing_net.api.ws_server, emit2client, 116 | DEBUG | MessageHub receives messages from net and emits them to clients. (event=WSEvent.EXEC_MININET_COMMAND_RESULT, param=b'\x08d\x12\x00')
2021-10-20 02:14:52,480 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=43) values = {} {} {}
2021-10-20 02:14:54,480 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=44) values = {} {} {}
2021-10-20 02:14:56,481 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=45) values = {} {} {}
2021-10-20 02:14:58,480 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=46) values = {} {} {}
2021-10-20 02:15:00,480 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=47) values = {} {} {}
2021-10-20 02:15:02,480 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=48) values = {} {} {}
2021-10-20 02:15:04,482 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=49) values = {} {} {}
2021-10-20 02:15:06,480 | 11874 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634696004.480158, until=50) values = {} {} {}
2021-10-20 02:15:07,942 | 11874 | tracing_net.cli, error, 119 | DEBUG | CLI error *** Unknown command: h0 ping -c 1 h1

