2021-10-20 02:43:18,369 | 2963 | tracing_net.net, __init__, 99 | INFO | set up on-demand mininet
2021-10-20 02:43:18,373 | 2963 | tracing_of_pipeline, start, 108 | INFO | OpenFlow Tracer Start
2021-10-20 02:43:18,386 | 2963 | tracing_net.net, start, 312 | INFO | mininet start
2021-10-20 02:43:18,390 | 2963 | tracing_of_pipeline.analyzer, start_analyzing, 103 | INFO | start analyzing
2021-10-20 02:43:18,399 | 2963 | tracing_net.net, add_switch, 116 | DEBUG | added the switch (s1)
2021-10-20 02:43:18,591 | 2963 | tracing_net.net, add_host, 164 | DEBUG | added the host (h1)
2021-10-20 02:43:18,646 | 2963 | tracing_net.net, add_link, 203 | DEBUG | added the link (l2) between s1 and h1
2021-10-20 02:43:18,805 | 2963 | tracing_net.net, add_switch, 116 | DEBUG | added the switch (s2)
2021-10-20 02:43:18,967 | 2963 | tracing_net.net, add_link, 203 | DEBUG | added the link (l1) between s1 and s2
2021-10-20 02:43:19,215 | 2963 | tracing_net.net, add_host, 164 | DEBUG | added the host (h2)
2021-10-20 02:43:19,278 | 2963 | tracing_net.net, add_link, 203 | DEBUG | added the link (l3) between s2 and h2
2021-10-20 02:43:19,462 | 2963 | tracing_net.net, start_tracing, 525 | INFO | tracing start
2021-10-20 02:43:19,465 | 2963 | tracing_net.net, start_tracing, 527 | DEBUG | ipv6 is disable
2021-10-20 02:43:19,538 | 2963 | tracing_net.packet_capture_manager, start_capture, 88 | DEBUG | capture process (s1-eth1:3106) started
2021-10-20 02:43:19,545 | 2963 | tracing_net.packet_capture_manager, start_capture, 88 | DEBUG | capture process (s1-eth2:3108) started
2021-10-20 02:43:19,546 | 3106 | tracing_net.util.packet_capture, start_capture, 58 | INFO | packet capture start on s1-eth1
2021-10-20 02:43:19,553 | 2963 | tracing_net.packet_capture_manager, start_capture, 88 | DEBUG | capture process (s2-eth2:3110) started
2021-10-20 02:43:19,559 | 3108 | tracing_net.util.packet_capture, start_capture, 58 | INFO | packet capture start on s1-eth2
2021-10-20 02:43:19,566 | 2963 | tracing_net.flowtable.flow_monitor, __init__, 46 | INFO | flow monitor start : s1
2021-10-20 02:43:19,578 | 3110 | tracing_net.util.packet_capture, start_capture, 58 | INFO | packet capture start on s2-eth2
2021-10-20 02:43:19,583 | 2963 | tracing_net.flowtable.flow_monitor, __init__, 46 | INFO | flow monitor start : s2
2021-10-20 02:43:20,402 | 2963 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-10-20 02:43:20,418 | 2963 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-10-20 02:43:20,421 | 2963 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-10-20 02:43:20,442 | 2963 | tracing_of_pipeline.analyzer, _poll_packet_inout_repo, 434 | DEBUG | tmp_p = None, s_dpip = 1
2021-10-20 02:43:20,458 | 2963 | tracing_of_pipeline.analyzer, _poll_packet_inout_repo, 434 | DEBUG | tmp_p = None, s_dpip = 2
2021-10-20 02:43:20,525 | 2963 | tracing_of_pipeline.analyzer, _polling, 394 | DEBUG | polled repository (start_time=1634697798.394494, until=0) values = {'l2': [], 'l1': [], 'l3': []} {} {'s1': [], 's2': []}
2021-10-20 02:43:20,564 | 2963 | tracing_of_pipeline.analyzer, analyze, 166 | WARNING | No packet in edge l2
2021-10-20 02:43:20,584 | 3112 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-10-20 02:43:20,613 | 2963 | tracing_of_pipeline.analyzer, analyze, 166 | WARNING | No packet in edge l1
2021-10-20 02:43:20,614 | 2963 | tracing_of_pipeline.analyzer, analyze, 166 | WARNING | No packet in edge l3
