2021-07-28 01:46:30,944 | 3321 | ofcapture.proxy.proxy, start_server, 231 | INFO | Server on ('127.0.0.1', 63333)
2021-07-28 01:46:30,946 | 3321 | ofcapture.proxy.proxy, start_server, 234 | INFO | Server serve forever ('127.0.0.1', 63333)
2021-07-28 01:46:31,091 | 3321 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 57100) is connected
2021-07-28 01:46:31,115 | 3321 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-07-28 01:46:31,332 | 3321 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 57104) is connected
2021-07-28 01:46:31,334 | 3321 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-07-28 01:46:31,367 | 3321 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 57108) is connected
2021-07-28 01:46:31,372 | 3321 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-07-28 01:46:32,337 | 3321 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 57112) is connected
2021-07-28 01:46:32,339 | 3321 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-07-28 01:46:32,344 | 3321 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 57116) is connected
2021-07-28 01:46:32,366 | 3321 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-07-28 01:46:33,335 | 3321 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 57120) is connected
2021-07-28 01:46:33,350 | 3321 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 57122) is connected
