2021-11-08 06:30:51,678 | 30969 | ofcapture.proxy.proxy, start_server, 231 | INFO | Server on ('127.0.0.1', 63333)
2021-11-08 06:30:51,679 | 30969 | ofcapture.proxy.proxy, start_server, 234 | INFO | Server serve forever ('127.0.0.1', 63333)
2021-11-08 06:30:51,756 | 30969 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 38248) is connected
2021-11-08 06:30:51,758 | 30969 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-11-08 06:30:52,006 | 30969 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 38252) is connected
2021-11-08 06:30:52,008 | 30969 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-11-08 06:30:52,111 | 30969 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 38256) is connected
2021-11-08 06:30:52,115 | 30969 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-11-08 06:30:52,993 | 30969 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 38260) is connected
2021-11-08 06:30:52,994 | 30969 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 38262) is connected
2021-11-08 06:30:52,996 | 30969 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-11-08 06:30:52,996 | 30969 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-11-08 06:30:53,688 | 30959 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-11-08 06:30:53,689 | 30959 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-11-08 06:30:53,996 | 30969 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 38348) is connected
2021-11-08 06:30:54,004 | 30969 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 38350) is connected
2021-11-08 06:30:54,009 | 30969 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-11-08 06:30:54,010 | 30969 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-11-08 06:30:55,004 | 30969 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 38436) is connected
2021-11-08 06:30:55,005 | 30969 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 38438) is connected
2021-11-08 06:30:55,006 | 30969 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-11-08 06:30:55,007 | 30969 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-11-08 06:30:55,689 | 30959 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-11-08 06:30:55,693 | 30959 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-11-08 06:30:56,011 | 30969 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 38444) is connected
2021-11-08 06:30:56,017 | 30969 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 38446) is connected
2021-11-08 06:30:56,022 | 30969 | ofcapture.proxy.proxy, handle_controller, 364 | INFO | connected Controller ('127.0.0.1', 6633)
2021-11-08 06:30:56,025 | 30969 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_HELLO Hello(xid=UBInt32(74)) {'header': {'version': 4, 'message_type': 0, 'length': 8, 'xid': 74}, 'elements': []}
2021-11-08 06:30:56,038 | 30969 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_HELLO Hello(xid=UBInt32(73)) {'header': {'version': 4, 'message_type': 0, 'length': 8, 'xid': 73}, 'elements': []}
2021-11-08 06:30:56,048 | 30969 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_HELLO Hello(xid=UBInt32(3770094677)) {'header': {'version': 4, 'message_type': 0, 'length': 8, 'xid': 3770094677}, 'elements': [{'element_type': 1029, 'length': 8, 'content': b'\xe0\xb7\x14V'}]}
2021-11-08 06:30:56,050 | 30969 | ofcapture.proxy.proxy, handle_controller, 364 | INFO | connected Controller ('127.0.0.1', 6633)
2021-11-08 06:30:56,053 | 30969 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_HELLO Hello(xid=UBInt32(542151693)) {'header': {'version': 4, 'message_type': 0, 'length': 8, 'xid': 542151693}, 'elements': [{'element_type': 1029, 'length': 8, 'content': b' P\x94\x0e'}]}
2021-11-08 06:30:56,063 | 30969 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_FEATURES_REPLY FeaturesReply(xid=UBInt32(3770094678)) {'header': {'version': 4, 'message_type': 6, 'length': 32, 'xid': 3770094678}, 'datapath_id': '00:00:00:00:00:00:00:02', 'n_buffers': 0, 'n_tables': 254, 'auxiliary_id': 0, 'pad': None, 'capabilities': '79', 'reserved': 0}
