2021-11-09 06:52:44,265 | 3568 | ofcapture.proxy.proxy, start_server, 231 | INFO | Server on ('127.0.0.1', 63333)
2021-11-09 06:52:44,267 | 3568 | ofcapture.proxy.proxy, start_server, 234 | INFO | Server serve forever ('127.0.0.1', 63333)
2021-11-09 06:52:44,389 | 3568 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 46282) is connected
2021-11-09 06:52:44,394 | 3568 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-11-09 06:52:44,651 | 3568 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 46286) is connected
2021-11-09 06:52:44,652 | 3568 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-11-09 06:52:45,086 | 3568 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 46290) is connected
2021-11-09 06:52:45,086 | 3568 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 46292) is connected
2021-11-09 06:52:45,087 | 3568 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-11-09 06:52:45,088 | 3568 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-11-09 06:52:46,378 | 3558 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-11-09 06:52:46,381 | 3568 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 46378) is connected
2021-11-09 06:52:46,383 | 3568 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 46380) is connected
