2021-10-19 07:16:24,736 | 3044 | tracing_net.net, __init__, 99 | INFO | set up on-demand mininet
2021-10-19 07:16:24,738 | 3044 | tracing_of_pipeline, start, 102 | INFO | OpenFlow Tracer Start
2021-10-19 07:16:24,753 | 3044 | tracing_net.net, start, 312 | INFO | mininet start
2021-10-19 07:16:24,756 | 3044 | tracing_net.cli, output, 89 | DEBUG | CLI output 

2021-10-19 07:16:24,760 | 3044 | tracing_net.api.ws_server, emit2client, 111 | DEBUG | MessageHub receives messages from net and emits them to clients. (event=WSEvent.EXEC_MININET_COMMAND_RESULT, param=b'\x08\x00\x12\x01\n')
2021-10-19 07:16:24,763 | 3044 | tracing_net.cli, send_end_command_signal, 105 | DEBUG | CLI send end command signal
2021-10-19 07:16:24,766 | 3044 | tracing_net.api.ws_server, emit2client, 111 | DEBUG | MessageHub receives messages from net and emits them to clients. (event=WSEvent.EXEC_MININET_COMMAND_RESULT, param=b'\x08d\x12\x00')
2021-10-19 07:16:24,771 | 3044 | tracing_net.cli, output, 89 | DEBUG | CLI output 

2021-10-19 07:16:24,777 | 3044 | tracing_net.api.ws_server, emit2client, 111 | DEBUG | MessageHub receives messages from net and emits them to clients. (event=WSEvent.EXEC_MININET_COMMAND_RESULT, param=b'\x08\x00\x12\x01\n')
2021-10-19 07:16:24,782 | 3044 | tracing_net.cli, send_end_command_signal, 105 | DEBUG | CLI send end command signal
2021-10-19 07:16:24,783 | 3044 | tracing_net.api.ws_server, emit2client, 111 | DEBUG | MessageHub receives messages from net and emits them to clients. (event=WSEvent.EXEC_MININET_COMMAND_RESULT, param=b'\x08d\x12\x00')
2021-10-19 07:16:24,784 | 3044 | tracing_net.cli, output, 89 | DEBUG | CLI output 

2021-10-19 07:16:24,790 | 3044 | tracing_net.api.ws_server, emit2client, 111 | DEBUG | MessageHub receives messages from net and emits them to clients. (event=WSEvent.EXEC_MININET_COMMAND_RESULT, param=b'\x08\x00\x12\x01\n')
2021-10-19 07:16:24,797 | 3044 | tracing_net.cli, send_end_command_signal, 105 | DEBUG | CLI send end command signal
2021-10-19 07:16:24,798 | 3044 | tracing_net.api.ws_server, emit2client, 111 | DEBUG | MessageHub receives messages from net and emits them to clients. (event=WSEvent.EXEC_MININET_COMMAND_RESULT, param=b'\x08d\x12\x00')
2021-10-19 07:16:24,800 | 3044 | tracing_net.cli, output, 89 | DEBUG | CLI output 

2021-10-19 07:16:24,802 | 3044 | tracing_net.api.ws_server, emit2client, 111 | DEBUG | MessageHub receives messages from net and emits them to clients. (event=WSEvent.EXEC_MININET_COMMAND_RESULT, param=b'\x08\x00\x12\x01\n')
2021-10-19 07:16:24,804 | 3044 | tracing_net.cli, send_end_command_signal, 105 | DEBUG | CLI send end command signal
2021-10-19 07:16:24,808 | 3044 | tracing_net.api.ws_server, emit2client, 111 | DEBUG | MessageHub receives messages from net and emits them to clients. (event=WSEvent.EXEC_MININET_COMMAND_RESULT, param=b'\x08d\x12\x00')
2021-10-19 07:16:24,815 | 3044 | tracing_net.cli, output, 89 | DEBUG | CLI output 

