2021-07-21 01:13:35,243 | 6997 | tracing_net.net, __init__, 96 | INFO | set up on-demand mininet
2021-07-21 01:13:35,248 | 6997 | tracing_net.net, start, 307 | INFO | mininet start
2021-07-21 01:13:35,257 | 6997 | tracing_net.net, add_switch, 113 | DEBUG | added the switch (s1)
2021-07-21 01:13:35,377 | 6997 | tracing_net.net, add_host, 159 | DEBUG | added the host (h1)
2021-07-21 01:13:35,454 | 6997 | tracing_net.net, add_link, 198 | DEBUG | added the link (l2) between s1 and h1
2021-07-21 01:13:35,562 | 6997 | tracing_net.net, add_switch, 113 | DEBUG | added the switch (s2)
2021-07-21 01:13:35,644 | 6997 | tracing_net.net, add_link, 198 | DEBUG | added the link (l1) between s1 and s2
2021-07-21 01:13:35,830 | 6997 | tracing_net.net, add_host, 159 | DEBUG | added the host (h2)
2021-07-21 01:13:35,965 | 6997 | tracing_net.net, add_link, 198 | DEBUG | added the link (l3) between s2 and h2
2021-07-21 01:13:36,156 | 6997 | tracing_net.packet_capture_manager, start_capture, 85 | DEBUG | capture process (s1-eth1:None) started
2021-07-21 01:13:36,160 | 7119 | tracing_net.util.packet_capture, start_capture, 56 | INFO | capture start on s1-eth1
2021-07-21 01:13:36,164 | 6997 | tracing_net.packet_capture_manager, start_capture, 85 | DEBUG | capture process (s1-eth2:None) started
2021-07-21 01:13:36,169 | 6997 | tracing_net.packet_capture_manager, start_capture, 85 | DEBUG | capture process (s2-eth2:None) started
2021-07-21 01:13:36,173 | 6997 | tracing_net.flowtable.flow_monitor, __init__, 46 | INFO | flow monitor start : s1
2021-07-21 01:13:36,177 | 7121 | tracing_net.util.packet_capture, start_capture, 56 | INFO | capture start on s1-eth2
2021-07-21 01:13:36,190 | 6997 | tracing_net.flowtable.flow_monitor, __init__, 46 | INFO | flow monitor start : s2
2021-07-21 01:13:36,181 | 7124 | tracing_net.util.packet_capture, start_capture, 56 | INFO | capture start on s2-eth2
2021-07-21 01:13:36,237 | 7126 | tracing_net.flowtable.flow_monitor, flow_monitor, 89 | DEBUG | flow monitor get result {'msg_type': 'NXST_FLOW_MONITOR', 'type': 'reply', 'xid': '0x4'}
2021-07-21 01:13:36,302 | 7130 | tracing_net.flowtable.flow_monitor, flow_monitor, 89 | DEBUG | flow monitor get result {'msg_type': 'NXST_FLOW_MONITOR', 'type': 'reply', 'xid': '0x4'}
2021-07-21 01:13:37,202 | 7126 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | dump flows on s1
2021-07-21 01:13:37,226 | 7130 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | dump flows on s2
2021-07-21 01:13:37,252 | 7126 | tracing_net.flowtable.flow_monitor, read_dump_flow, 73 | DEBUG | get result for dump flow 1626830017.215441 : ['OFPST_FLOW reply (OF1.3) (xid=0x2):']
2021-07-21 01:13:37,281 | 7130 | tracing_net.flowtable.flow_monitor, read_dump_flow, 73 | DEBUG | get result for dump flow 1626830017.252287 : ['OFPST_FLOW reply (OF1.3) (xid=0x2):']
2021-07-21 01:13:38,284 | 7126 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | dump flows on s1
2021-07-21 01:13:38,305 | 7130 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | dump flows on s2
2021-07-21 01:13:38,310 | 6997 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-07-21 01:13:38,311 | 6997 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-07-21 01:13:38,340 | 6997 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-07-21 01:13:38,367 | 6997 | tracing_of_pipeline.analyzer, _poll_packet_inout_repo, 276 | DEBUG | tmp_p = None, s_dpip = 1
2021-07-21 01:13:38,369 | 6997 | tracing_of_pipeline.analyzer, _poll_packet_inout_repo, 276 | DEBUG | tmp_p = None, s_dpip = 2
