2021-10-25 02:12:34,106 | 3059 | tracing_net.net, __init__, 99 | INFO | set up on-demand mininet
2021-10-25 02:12:34,108 | 3059 | tracing_of_pipeline, start, 111 | INFO | OpenFlow Tracer Start
2021-10-25 02:12:34,114 | 3059 | tracing_net.net, start, 312 | INFO | mininet start
2021-10-25 02:12:34,123 | 3059 | tracing_of_pipeline.analyzer, start_analyzing, 106 | INFO | start analyzing
2021-10-25 02:12:34,132 | 3059 | tracing_net.net, add_switch, 116 | DEBUG | added the switch (s0)
2021-10-25 02:12:34,340 | 3059 | tracing_net.net, add_host, 164 | DEBUG | added the host (h0)
2021-10-25 02:12:34,400 | 3059 | tracing_net.net, add_link, 203 | DEBUG | added the link (l2) between s0 and h0
2021-10-25 02:12:34,473 | 3059 | tracing_net.net, add_host, 164 | DEBUG | added the host (h1)
2021-10-25 02:12:34,492 | 3059 | tracing_net.net, add_link, 203 | DEBUG | added the link (l3) between s0 and h1
2021-10-25 02:12:34,550 | 3059 | tracing_net.net, add_switch, 116 | DEBUG | added the switch (s1)
2021-10-25 02:12:34,599 | 3059 | tracing_net.net, add_link, 203 | DEBUG | added the link (l1) between s0 and s1
2021-10-25 02:12:34,670 | 3059 | tracing_net.net, add_host, 164 | DEBUG | added the host (h2)
2021-10-25 02:12:34,697 | 3059 | tracing_net.net, add_link, 203 | DEBUG | added the link (l4) between s1 and h2
2021-10-25 02:12:34,766 | 3059 | tracing_net.net, add_host, 164 | DEBUG | added the host (h3)
2021-10-25 02:12:34,795 | 3059 | tracing_net.net, add_link, 203 | DEBUG | added the link (l5) between s1 and h3
2021-10-25 02:12:34,871 | 3059 | tracing_net.net, start_tracing, 525 | INFO | tracing start
2021-10-25 02:12:34,871 | 3059 | tracing_net.net, start_tracing, 527 | DEBUG | ipv6 is disable
2021-10-25 02:12:34,974 | 3059 | tracing_net.packet_capture_manager, start_capture, 88 | DEBUG | capture process (s0-eth1:3255) started
2021-10-25 02:12:34,976 | 3255 | tracing_net.util.packet_capture, start_capture, 58 | INFO | packet capture start on s0-eth1
2021-10-25 02:12:34,985 | 3059 | tracing_net.packet_capture_manager, start_capture, 88 | DEBUG | capture process (s0-eth2:3257) started
2021-10-25 02:12:34,992 | 3257 | tracing_net.util.packet_capture, start_capture, 58 | INFO | packet capture start on s0-eth2
2021-10-25 02:12:35,002 | 3059 | tracing_net.packet_capture_manager, start_capture, 88 | DEBUG | capture process (s0-eth3:3259) started
2021-10-25 02:12:35,019 | 3259 | tracing_net.util.packet_capture, start_capture, 58 | INFO | packet capture start on s0-eth3
2021-10-25 02:12:35,012 | 3059 | tracing_net.packet_capture_manager, start_capture, 88 | DEBUG | capture process (s1-eth2:3262) started
2021-10-25 02:12:35,028 | 3262 | tracing_net.util.packet_capture, start_capture, 58 | INFO | packet capture start on s1-eth2
2021-10-25 02:12:35,038 | 3059 | tracing_net.packet_capture_manager, start_capture, 88 | DEBUG | capture process (s1-eth3:3265) started
2021-10-25 02:12:35,042 | 3059 | tracing_net.flowtable.flow_monitor, __init__, 46 | INFO | flow monitor start : s0
2021-10-25 02:12:35,052 | 3265 | tracing_net.util.packet_capture, start_capture, 58 | INFO | packet capture start on s1-eth3
2021-10-25 02:12:35,067 | 3059 | tracing_net.flowtable.flow_monitor, __init__, 46 | INFO | flow monitor start : s1
2021-10-25 02:12:36,079 | 3268 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s0
2021-10-25 02:12:36,097 | 3272 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-10-25 02:12:36,127 | 3059 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-10-25 02:12:36,130 | 3059 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-10-25 02:12:36,141 | 3272 | tracing_net.flowtable.flow_monitor, read_dump_flow, 74 | DEBUG | get result for dump flows 1635127956.122685 : ['OFPST_FLOW reply (OF1.3) (xid=0x2):']
2021-10-25 02:12:36,145 | 3059 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-10-25 02:12:36,145 | 3272 | tracing_net.flowtable.flow_monitor, read_dump_flow, 83 | WARNING | No result dump flows
2021-10-25 02:12:36,130 | 3268 | tracing_net.flowtable.flow_monitor, read_dump_flow, 74 | DEBUG | get result for dump flows 1635127956.096777 : ['OFPST_FLOW reply (OF1.3) (xid=0x2):']
2021-10-25 02:12:36,147 | 3059 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-10-25 02:12:36,160 | 3268 | tracing_net.flowtable.flow_monitor, read_dump_flow, 83 | WARNING | No result dump flows
2021-10-25 02:12:36,160 | 3059 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-10-25 02:12:36,191 | 3059 | tracing_of_pipeline.analyzer, _poll_packet_inout_repo, 462 | DEBUG | tmp_p = [], s_dpip = 0
2021-10-25 02:12:36,195 | 3059 | tracing_of_pipeline.analyzer, _poll_packet_inout_repo, 462 | DEBUG | tmp_p = [], s_dpip = 1
2021-10-25 02:12:36,196 | 3059 | tracing_of_pipeline.analyzer, _polling, 423 | DEBUG | polled repository (start_time=1635127954.124712, until=0) values = {'l2': [], 'l3': [], 'l1': [], 'l4': [], 'l5': []} {} {'s0': [], 's1': []}
2021-10-25 02:12:36,202 | 3059 | tracing_of_pipeline.analyzer, analyze, 175 | WARNING | No packet in edge l2
2021-10-25 02:12:36,204 | 3059 | tracing_of_pipeline.analyzer, analyze, 175 | WARNING | No packet in edge l3
2021-10-25 02:12:36,204 | 3059 | tracing_of_pipeline.analyzer, analyze, 175 | WARNING | No packet in edge l1
2021-10-25 02:12:36,205 | 3059 | tracing_of_pipeline.analyzer, analyze, 175 | WARNING | No packet in edge l4
2021-10-25 02:12:36,213 | 3059 | tracing_of_pipeline.analyzer, analyze, 175 | WARNING | No packet in edge l5
2021-10-25 02:12:37,085 | 3268 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s0
2021-10-25 02:12:37,098 | 3272 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-10-25 02:12:37,135 | 3268 | tracing_net.flowtable.flow_monitor, read_dump_flow, 74 | DEBUG | get result for dump flows 1635127957.110724 : ['OFPST_FLOW reply (OF1.3) (xid=0x2):']
2021-10-25 02:12:37,136 | 3268 | tracing_net.flowtable.flow_monitor, read_dump_flow, 83 | WARNING | No result dump flows
2021-10-25 02:12:37,167 | 3272 | tracing_net.flowtable.flow_monitor, read_dump_flow, 74 | DEBUG | get result for dump flows 1635127957.137277 : ['OFPST_FLOW reply (OF1.3) (xid=0x2):']
2021-10-25 02:12:37,171 | 3272 | tracing_net.flowtable.flow_monitor, read_dump_flow, 83 | WARNING | No result dump flows
2021-10-25 02:12:38,079 | 3268 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s0
2021-10-25 02:12:38,095 | 3272 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-10-25 02:12:38,109 | 3268 | tracing_net.flowtable.flow_monitor, read_dump_flow, 74 | DEBUG | get result for dump flows 1635127958.091623 : ['OFPST_FLOW reply (OF1.3) (xid=0x2):']
2021-10-25 02:12:38,111 | 3268 | tracing_net.flowtable.flow_monitor, read_dump_flow, 83 | WARNING | No result dump flows
2021-10-25 02:12:38,118 | 3272 | tracing_net.flowtable.flow_monitor, read_dump_flow, 74 | DEBUG | get result for dump flows 1635127958.108073 : ['OFPST_FLOW reply (OF1.3) (xid=0x2):']
2021-10-25 02:12:38,125 | 3272 | tracing_net.flowtable.flow_monitor, read_dump_flow, 83 | WARNING | No result dump flows
2021-10-25 02:12:38,183 | 3059 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-10-25 02:12:38,184 | 3059 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-10-25 02:12:38,185 | 3059 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-10-25 02:12:38,186 | 3059 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-10-25 02:12:38,187 | 3059 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-10-25 02:12:38,204 | 3059 | tracing_of_pipeline.analyzer, _poll_packet_inout_repo, 462 | DEBUG | tmp_p = [], s_dpip = 0
2021-10-25 02:12:38,510 | 3059 | tracing_of_pipeline.analyzer, _poll_packet_inout_repo, 462 | DEBUG | tmp_p = [], s_dpip = 1
2021-10-25 02:12:38,511 | 3059 | tracing_of_pipeline.analyzer, _polling, 423 | DEBUG | polled repository (start_time=1635127954.124712, until=1) values = {'l2': [], 'l3': [], 'l1': [], 'l4': [], 'l5': []} {} {'s0': [], 's1': []}
2021-10-25 02:12:38,511 | 3059 | tracing_of_pipeline.analyzer, analyze, 175 | WARNING | No packet in edge l2
2021-10-25 02:12:38,512 | 3059 | tracing_of_pipeline.analyzer, analyze, 175 | WARNING | No packet in edge l3
2021-10-25 02:12:38,514 | 3059 | tracing_of_pipeline.analyzer, analyze, 175 | WARNING | No packet in edge l1
2021-10-25 02:12:38,514 | 3059 | tracing_of_pipeline.analyzer, analyze, 175 | WARNING | No packet in edge l4
2021-10-25 02:12:38,515 | 3059 | tracing_of_pipeline.analyzer, analyze, 175 | WARNING | No packet in edge l5
2021-10-25 02:12:39,079 | 3268 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s0
2021-10-25 02:12:39,095 | 3272 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-10-25 02:12:39,127 | 3268 | tracing_net.flowtable.flow_monitor, read_dump_flow, 74 | DEBUG | get result for dump flows 1635127959.102235 : ['OFPST_FLOW reply (OF1.3) (xid=0x2):']
2021-10-25 02:12:39,130 | 3268 | tracing_net.flowtable.flow_monitor, read_dump_flow, 83 | WARNING | No result dump flows
2021-10-25 02:12:39,155 | 3272 | tracing_net.flowtable.flow_monitor, read_dump_flow, 74 | DEBUG | get result for dump flows 1635127959.110698 : ['OFPST_FLOW reply (OF1.3) (xid=0x2):']
2021-10-25 02:12:39,156 | 3272 | tracing_net.flowtable.flow_monitor, read_dump_flow, 83 | WARNING | No result dump flows
2021-10-25 02:12:40,079 | 3268 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s0
2021-10-25 02:12:40,095 | 3272 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-10-25 02:12:40,125 | 3059 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-10-25 02:12:40,125 | 3059 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-10-25 02:12:40,125 | 3059 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-10-25 02:12:40,126 | 3059 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-10-25 02:12:40,126 | 3059 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-10-25 02:12:40,127 | 3059 | tracing_of_pipeline.analyzer, _poll_packet_inout_repo, 462 | DEBUG | tmp_p = [], s_dpip = 0
2021-10-25 02:12:40,127 | 3059 | tracing_of_pipeline.analyzer, _poll_packet_inout_repo, 462 | DEBUG | tmp_p = [], s_dpip = 1
2021-10-25 02:12:40,128 | 3059 | tracing_of_pipeline.analyzer, _polling, 423 | DEBUG | polled repository (start_time=1635127954.124712, until=2) values = {'l2': [], 'l3': [], 'l1': [], 'l4': [], 'l5': []} {} {'s0': [], 's1': []}
2021-10-25 02:12:40,128 | 3059 | tracing_of_pipeline.analyzer, analyze, 175 | WARNING | No packet in edge l2
2021-10-25 02:12:40,128 | 3059 | tracing_of_pipeline.analyzer, analyze, 175 | WARNING | No packet in edge l3
2021-10-25 02:12:40,129 | 3059 | tracing_of_pipeline.analyzer, analyze, 175 | WARNING | No packet in edge l1
2021-10-25 02:12:40,129 | 3059 | tracing_of_pipeline.analyzer, analyze, 175 | WARNING | No packet in edge l4
2021-10-25 02:12:40,130 | 3059 | tracing_of_pipeline.analyzer, analyze, 175 | WARNING | No packet in edge l5
2021-10-25 02:12:40,146 | 3272 | tracing_net.flowtable.flow_monitor, read_dump_flow, 74 | DEBUG | get result for dump flows 1635127960.115968 : ['OFPST_FLOW reply (OF1.3) (xid=0x2):']
2021-10-25 02:12:40,146 | 3272 | tracing_net.flowtable.flow_monitor, read_dump_flow, 83 | WARNING | No result dump flows
2021-10-25 02:12:40,147 | 3268 | tracing_net.flowtable.flow_monitor, read_dump_flow, 74 | DEBUG | get result for dump flows 1635127960.105351 : ['OFPST_FLOW reply (OF1.3) (xid=0x2):']
2021-10-25 02:12:40,148 | 3268 | tracing_net.flowtable.flow_monitor, read_dump_flow, 83 | WARNING | No result dump flows
2021-10-25 02:12:41,079 | 3268 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s0
2021-10-25 02:12:41,095 | 3272 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-10-25 02:12:41,133 | 3272 | tracing_net.flowtable.flow_monitor, read_dump_flow, 74 | DEBUG | get result for dump flows 1635127961.113108 : ['OFPST_FLOW reply (OF1.3) (xid=0x2):']
