2021-10-20 02:43:18,406 | 2973 | ofcapture.proxy.proxy, start_server, 231 | INFO | Server on ('127.0.0.1', 63333)
2021-10-20 02:43:18,407 | 2973 | ofcapture.proxy.proxy, start_server, 234 | INFO | Server serve forever ('127.0.0.1', 63333)
2021-10-20 02:43:18,581 | 2973 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 38204) is connected
2021-10-20 02:43:18,584 | 2973 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-20 02:43:18,961 | 2973 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 38208) is connected
2021-10-20 02:43:18,962 | 2973 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-20 02:43:19,346 | 2973 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 38212) is connected
2021-10-20 02:43:19,347 | 2973 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 38214) is connected
2021-10-20 02:43:19,353 | 2973 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-20 02:43:19,361 | 2973 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-20 02:43:20,342 | 2973 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 38220) is connected
2021-10-20 02:43:20,343 | 2973 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 38222) is connected
2021-10-20 02:43:20,346 | 2973 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-20 02:43:20,360 | 2973 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-20 02:43:20,429 | 2963 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-20 02:43:20,454 | 2963 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-20 02:43:21,334 | 2973 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 38228) is connected
2021-10-20 02:43:21,335 | 2973 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 38230) is connected
