2021-10-19 05:57:54,110 | 5001 | tracing_net.net, __init__, 99 | INFO | set up on-demand mininet
2021-10-19 05:57:54,182 | 5001 | tracing_of_pipeline, start, 102 | INFO | OpenFlow Tracer Start
2021-10-19 05:57:54,276 | 5001 | tracing_net.net, start, 312 | INFO | mininet start
2021-10-19 05:57:59,328 | 5013 | tracing_net.api.ws_server, connect, 267 | INFO | connect sid=rdTvDfet96FaapGGAAAB
2021-10-19 05:58:08,576 | 5013 | tracing_net.api.ws_server, emit2net, 105 | DEBUG | MessageHub receives messages from clients and emits them to the vnet. (event=WSEvent.EXEC_MININET_COMMAND, param={'command': 'c0 ls'})
2021-10-19 05:58:08,580 | 5001 | tracing_net.api.ws_server, get_from_client, 119 | DEBUG | MessageHub receives messages from clients. (response={'event': 'exec_mininet_cmd', 'param': {'command': 'c0 ls'}})
2021-10-19 05:58:08,590 | 5001 | tracing_net.cli, input, 82 | DEBUG | CLI input c0 ls
2021-10-19 06:10:50,065 | 5001 | tracing_net.cli, output, 88 | DEBUG | CLI output exited by user command
2021-10-19 06:10:50,086 | 5001 | tracing_net.api.ws_server, emit2client, 111 | DEBUG | MessageHub receives messages from net and emits them to clients. (event=WSEvent.EXEC_MININET_COMMAND_RESULT, param=b'\x08\x00\x12\x16exited by user command')
2021-10-19 06:10:50,087 | 5001 | tracing_net.cli, send_end_command_signal, 104 | DEBUG | CLI send end command signal
2021-10-19 06:10:50,088 | 5001 | tracing_net.api.ws_server, emit2client, 111 | DEBUG | MessageHub receives messages from net and emits them to clients. (event=WSEvent.EXEC_MININET_COMMAND_RESULT, param=b'\x08d\x12\x00')
2021-10-19 06:10:50,089 | 5001 | tracing_net.net, stop_tracing, 541 | INFO | tracing stop
2021-10-19 06:10:50,090 | 5001 | tracing_of_pipeline, stop, 118 | INFO | OpenFlow Tracer Stop
2021-10-19 06:10:50,092 | 5001 | tracing_net.net, stop_tracing, 541 | INFO | tracing stop
2021-10-19 06:10:50,095 | 5013 | tracing_net.api.ws_server, disconnect, 272 | INFO | disconnect sid=rdTvDfet96FaapGGAAAB
2021-10-19 06:10:50,133 | 5001 | tracing_net.net, stop, 317 | INFO | mininet stop
2021-10-19 06:10:50,135 | 5001 | tracing_net.net, stop, 550 | DEBUG | mininet stopped and all capture processes closed
