2021-10-29 06:59:05,000 | 4191 | ofcapture.proxy.proxy, start_server, 231 | INFO | Server on ('127.0.0.1', 63333)
2021-10-29 06:59:05,001 | 4191 | ofcapture.proxy.proxy, start_server, 234 | INFO | Server serve forever ('127.0.0.1', 63333)
2021-10-29 06:59:05,119 | 4191 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 35922) is connected
2021-10-29 06:59:05,128 | 4191 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-29 06:59:05,349 | 4191 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 35926) is connected
2021-10-29 06:59:05,355 | 4191 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-29 06:59:05,378 | 4191 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 35930) is connected
2021-10-29 06:59:05,380 | 4191 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 35932) is connected
2021-10-29 06:59:05,386 | 4191 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-29 06:59:05,388 | 4191 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-29 06:59:06,377 | 4191 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 35938) is connected
2021-10-29 06:59:06,378 | 4191 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 35940) is connected
2021-10-29 06:59:06,379 | 4191 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-29 06:59:06,380 | 4191 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-29 06:59:07,000 | 4181 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-29 06:59:07,002 | 4181 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-29 06:59:07,382 | 4191 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 36026) is connected
2021-10-29 06:59:07,383 | 4191 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 36028) is connected
2021-10-29 06:59:07,384 | 4191 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-29 06:59:07,385 | 4191 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-29 06:59:08,379 | 4191 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 36114) is connected
2021-10-29 06:59:08,384 | 4191 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 36116) is connected
2021-10-29 06:59:08,394 | 4191 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-29 06:59:08,402 | 4191 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-10-29 06:59:08,998 | 4181 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-29 06:59:08,999 | 4181 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-10-29 06:59:09,378 | 4191 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 36122) is connected
2021-10-29 06:59:09,380 | 4191 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 36124) is connected
2021-10-29 06:59:09,383 | 4191 | ofcapture.proxy.proxy, handle_controller, 364 | INFO | connected Controller ('127.0.0.1', 6633)
2021-10-29 06:59:09,385 | 4191 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_HELLO Hello(xid=UBInt32(314)) {'header': {'version': 4, 'message_type': 0, 'length': 8, 'xid': 314}, 'elements': []}
2021-10-29 06:59:09,401 | 4191 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_HELLO Hello(xid=UBInt32(313)) {'header': {'version': 4, 'message_type': 0, 'length': 8, 'xid': 313}, 'elements': []}
2021-10-29 06:59:09,408 | 4191 | ofcapture.proxy.proxy, handle_controller, 364 | INFO | connected Controller ('127.0.0.1', 6633)
2021-10-29 06:59:09,418 | 4191 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_HELLO Hello(xid=UBInt32(3032488851)) {'header': {'version': 4, 'message_type': 0, 'length': 8, 'xid': 3032488851}, 'elements': [{'element_type': 1029, 'length': 8, 'content': b'\xb4\xc0\x1b\x94'}]}
2021-10-29 06:59:09,433 | 4191 | ofcapture.proxy.observer, parse, 35 | INFO | Parsed msg : OFPT_HELLO Hello(xid=UBInt32(42294956)) {'header': {'version': 4, 'message_type': 0, 'length': 8, 'xid': 42294956}, 'elements': [{'element_type': 1029, 'length': 8, 'content': b'\x02\x85^\xad'}]}
