2021-10-19 13:28:52,292 | 3157 | tracing_net.net, __init__, 99 | INFO | set up on-demand mininet
2021-10-19 13:28:52,297 | 3157 | tracing_of_pipeline, start, 105 | INFO | OpenFlow Tracer Start
2021-10-19 13:28:52,342 | 3157 | tracing_net.net, start, 312 | INFO | mininet start
2021-10-19 13:28:55,768 | 3169 | tracing_net.api.ws_server, connect, 274 | INFO | connect sid=vODhPIGXXV6A4DbyAAAB
2021-10-19 13:29:04,716 | 3169 | tracing_net.api.ws_server, emit2net, 109 | DEBUG | MessageHub receives messages from clients and emits them to the vnet. (event=WSEvent.ADD_SWITCH, param={'name': 's0', 'dpid': ''})
2021-10-19 13:29:04,732 | 3157 | tracing_net.api.ws_server, get_from_client, 123 | DEBUG | MessageHub receives messages from clients. (response={'event': 'add_switch', 'param': {'name': 's0', 'dpid': ''}})
2021-10-19 13:29:04,738 | 3157 | tracing_net.net, add_switch, 116 | DEBUG | added the switch (s0)
2021-10-19 13:29:09,974 | 3169 | tracing_net.api.ws_server, emit2net, 109 | DEBUG | MessageHub receives messages from clients and emits them to the vnet. (event=WSEvent.ADD_HOST, param={'name': 'h0', 'ip': '', 'mac': ''})
2021-10-19 13:29:09,974 | 3157 | tracing_net.api.ws_server, get_from_client, 123 | DEBUG | MessageHub receives messages from clients. (response={'event': 'add_host', 'param': {'name': 'h0', 'ip': '', 'mac': ''}})
2021-10-19 13:29:09,975 | 3157 | tracing_net.net, add_host, 164 | DEBUG | added the host (h0)
2021-10-19 13:29:12,067 | 3169 | tracing_net.api.ws_server, emit2net, 109 | DEBUG | MessageHub receives messages from clients and emits them to the vnet. (event=WSEvent.ADD_HOST, param={'name': 'h1', 'ip': '', 'mac': ''})
2021-10-19 13:29:12,071 | 3157 | tracing_net.api.ws_server, get_from_client, 123 | DEBUG | MessageHub receives messages from clients. (response={'event': 'add_host', 'param': {'name': 'h1', 'ip': '', 'mac': ''}})
2021-10-19 13:29:12,073 | 3157 | tracing_net.net, add_host, 164 | DEBUG | added the host (h1)
2021-10-19 13:29:14,812 | 3169 | tracing_net.api.ws_server, emit2net, 109 | DEBUG | MessageHub receives messages from clients and emits them to the vnet. (event=WSEvent.ADD_SWITCH, param={'name': 's1', 'dpid': ''})
2021-10-19 13:29:14,823 | 3157 | tracing_net.api.ws_server, get_from_client, 123 | DEBUG | MessageHub receives messages from clients. (response={'event': 'add_switch', 'param': {'name': 's1', 'dpid': ''}})
2021-10-19 13:29:14,826 | 3157 | tracing_net.net, add_switch, 116 | DEBUG | added the switch (s1)
2021-10-19 13:29:16,545 | 3169 | tracing_net.api.ws_server, emit2net, 109 | DEBUG | MessageHub receives messages from clients and emits them to the vnet. (event=WSEvent.ADD_HOST, param={'name': 'h2', 'ip': '', 'mac': ''})
