2021-10-19 08:41:13,290 | 3086 | tracing_net.net, __init__, 99 | INFO | set up on-demand mininet
2021-10-19 08:41:13,291 | 3086 | tracing_of_pipeline, start, 103 | INFO | OpenFlow Tracer Start
2021-10-19 08:41:13,301 | 3086 | tracing_net.net, start, 312 | INFO | mininet start
2021-10-19 08:41:13,303 | 3086 | tracing_net.net, add_switch, 116 | DEBUG | added the switch (s1)
2021-10-19 08:41:13,599 | 3086 | tracing_net.net, add_host, 164 | DEBUG | added the host (h1)
2021-10-19 08:41:13,669 | 3086 | tracing_net.net, add_link, 203 | DEBUG | added the link (l2) between s1 and h1
2021-10-19 08:41:13,751 | 3086 | tracing_net.net, add_switch, 116 | DEBUG | added the switch (s2)
2021-10-19 08:41:13,907 | 3086 | tracing_net.net, add_link, 203 | DEBUG | added the link (l1) between s1 and s2
2021-10-19 08:41:14,126 | 3086 | tracing_net.net, add_host, 164 | DEBUG | added the host (h2)
2021-10-19 08:41:14,211 | 3086 | tracing_net.net, add_link, 203 | DEBUG | added the link (l3) between s2 and h2
2021-10-19 08:41:14,474 | 3086 | tracing_net.net, start_tracing, 525 | INFO | tracing start
2021-10-19 08:41:14,475 | 3086 | tracing_net.net, start_tracing, 527 | DEBUG | ipv6 is disable
2021-10-19 08:41:14,709 | 3086 | tracing_net.packet_capture_manager, start_capture, 87 | DEBUG | capture process (s1-eth1:None) started
2021-10-19 08:41:14,716 | 3086 | tracing_net.packet_capture_manager, start_capture, 87 | DEBUG | capture process (s1-eth2:None) started
2021-10-19 08:41:14,727 | 3231 | tracing_net.util.packet_capture, start_capture, 58 | INFO | packet capture start on s1-eth1
2021-10-19 08:41:14,747 | 3086 | tracing_net.packet_capture_manager, start_capture, 87 | DEBUG | capture process (s2-eth2:None) started
2021-10-19 08:41:14,741 | 3233 | tracing_net.util.packet_capture, start_capture, 58 | INFO | packet capture start on s1-eth2
2021-10-19 08:41:14,779 | 3236 | tracing_net.util.packet_capture, start_capture, 58 | INFO | packet capture start on s2-eth2
2021-10-19 08:41:14,764 | 3086 | tracing_net.flowtable.flow_monitor, __init__, 46 | INFO | flow monitor start : s1
2021-10-19 08:41:14,832 | 3086 | tracing_net.flowtable.flow_monitor, __init__, 46 | INFO | flow monitor start : s2
