2021-11-08 06:18:43,659 | 30290 | ofcapture.proxy.proxy, start_server, 231 | INFO | Server on ('127.0.0.1', 63333)
2021-11-08 06:18:43,666 | 30290 | ofcapture.proxy.proxy, start_server, 234 | INFO | Server serve forever ('127.0.0.1', 63333)
2021-11-08 06:18:43,833 | 30290 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 35194) is connected
2021-11-08 06:18:43,834 | 30290 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-11-08 06:18:43,993 | 30290 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 35198) is connected
2021-11-08 06:18:43,997 | 30290 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-11-08 06:18:43,999 | 30290 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 35200) is connected
2021-11-08 06:18:44,001 | 30290 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-11-08 06:18:44,996 | 30290 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 35206) is connected
2021-11-08 06:18:44,999 | 30290 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 35208) is connected
2021-11-08 06:18:45,000 | 30290 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-11-08 06:18:45,006 | 30290 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-11-08 06:18:45,655 | 30280 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-11-08 06:18:45,665 | 30280 | ofcapture.of_msg_repository, pop, 91 | ERROR | Failed to pop from of repository (repo={})
2021-11-08 06:18:45,994 | 30290 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 35214) is connected
