2021-07-21 00:46:03,428 | 3820 | ofcapture.proxy.proxy, start_server, 231 | INFO | Server on ('127.0.0.1', 63333)
2021-07-21 00:46:03,433 | 3820 | ofcapture.proxy.proxy, start_server, 234 | INFO | Server serve forever ('127.0.0.1', 63333)
2021-07-21 00:46:03,577 | 3820 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 40120) is connected
2021-07-21 00:46:03,583 | 3820 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-07-21 00:46:03,792 | 3820 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 40124) is connected
2021-07-21 00:46:03,793 | 3820 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-07-21 00:46:03,855 | 3820 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 40128) is connected
2021-07-21 00:46:03,857 | 3820 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-07-21 00:46:04,792 | 3820 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 40132) is connected
2021-07-21 00:46:04,793 | 3820 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 40134) is connected
2021-07-21 00:46:04,794 | 3820 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-07-21 00:46:04,804 | 3820 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-07-21 00:46:05,794 | 3820 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 40200) is connected
2021-07-21 00:46:05,796 | 3820 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 40202) is connected
2021-07-21 00:46:05,797 | 3820 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-07-21 00:46:05,798 | 3820 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-07-21 00:46:06,794 | 3820 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 40268) is connected
2021-07-21 00:46:06,798 | 3820 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 40270) is connected
2021-07-21 00:46:06,800 | 3820 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-07-21 00:46:06,801 | 3820 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-07-21 00:46:07,793 | 3820 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 40276) is connected
2021-07-21 00:46:07,797 | 3820 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 40278) is connected
